SM_Name	SM_LINCS_ID	SM_Alternative_Name	SM_PubChem_CID	SM_InChI_Parent	SM_InChI_Key_Parent	SM_SMILES_Parent	SM_Center_Name	SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_Provider_Name	SM_Provider_Catalog_ID	SM_Provider_Batch_ID	SM_Salt	SM_SMILES_Batch	SM_InChI_Batch	SM_InChI_Key_Batch	SM_Molecular_Mass	SM_Purity	SM_Purity_Method	SM_Aqueous_Solubility	SM_LogP
KIN001-043	LSM-42780		5287844	InChI=1S/C16H10BrN3O2/c17-8-5-6-9-12(7-8)19-16(21)13(9)15-14(20-22)10-3-1-2-4-11(10)18-15/h1-7,20,22H,(H,19,21)/b15-13-		ON=C1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14		10031	10031-101-1	Tocris	3194	3194-1		C1=CC=CC2=C1C(\C(N2[H])=C4/C3=C(C=C(C=C3)Br)N(C4=O)[H])=NO[H]			355.00				
BYL719	LSM-4256	Alpelisib	56649450	InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1		Cc1nc(NC(=O)N2CCC[C@H]2C(=O)N)sc1c3ccnc(c3)C(C)(C)C(F)(F)F		10233	10233-101-1	Haoyuan chemexpress	HY-15244	HM-206_014-20120614		O=C(N1[C@H]([C@](N)=O)CCC1)NC2=NC(C)=C(C3=CC(C(C)(C)C(F)(F)F)=NC=C3)S2			441.14				
NVP-AUY922	LSM-1162		53401173	InChI=1S/C26H31N3O5/c1-4-27-26(32)24-23(18-7-5-17(6-8-18)15-29-9-11-33-12-10-29)25(34-28-24)20-13-19(16(2)3)21(30)14-22(20)31/h5-8,13,16,28H,4,9-12,14-15H2,1-3H3,(H,27,32)/b25-20-		CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3		10161	10161-101-1	Haoyuan chemexpress	HY-10215	n/a		O1N=C(C(=C1C(C=C1C(C)C)=C(O)C=C1O)C(C=CC1CN(CCO2)CC2)=CC=1)C(NCC)=O			465.23				
NVP-AUY922	LSM-1162		53401173	InChI=1S/C26H31N3O5/c1-4-27-26(32)24-23(18-7-5-17(6-8-18)15-29-9-11-33-12-10-29)25(34-28-24)20-13-19(16(2)3)21(30)14-22(20)31/h5-8,13-14,16,28,30H,4,9-12,15H2,1-3H3,(H,27,32)		CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3		10161	10161-101-1	Haoyuan chemexpress	HY-10215	n/a		O1N=C(C(=C1C(C=C1C(C)C)=C(O)C=C1O)C(C=CC1CN(CCO2)CC2)=CC=1)C(NCC)=O			465.23				
A443654	LSM-1045		10172943	InChI=1S/C24H23N5O/c1-15-22-10-16(6-7-24(22)29-28-15)17-9-20(13-26-11-17)30-14-19(25)8-18-12-27-23-5-3-2-4-21(18)23/h2-7,9-13,19,27H,8,14,25H2,1H3,(H,28,29)/t19-/m0/s1		Cc1[nH]nc2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3		10045	10045-101-1	Nathanael Gray (DFCI)	KIN001-139	A443644-1		N[C@H](COC1=CN=CC(C2=CC(C(C)=NN3)=C3C=C2)=C1)CC4=CNC5=CC=CC=C54			397.19				
OSI-027	LSM-1063			InChI=1S/C21H22N6O3/c1-30-15-4-2-3-13-9-14(25-16(13)15)17-18-19(22)23-10-24-27(18)20(26-17)11-5-7-12(8-6-11)21(28)29/h2-4,9-12H,5-8,22H2,1H3,(H,23,24)(H,28,29)		COc1cccc2cc([nH]c12)c3nc([C@@H]4CC[C@@H](CC4)C(=O)O)n5ncnc(N)c35		10063	10063-102-1	activebiochem	A-1065	OSI-027-1		COC1=CC=CC2=C1NC(C3=C4C(N)=NC=NN4[C@]([C@H]5CC[C@@H]([C@](O)=O)CC5)=N3)=C2.Cl			406.18				
XMD11-85h	LSM-5577		42628535	InChI=1S/C29H41N7O3/c1-19(2)36-24-18-30-29(33-27(24)35(16-13-26(36)37)22-7-5-6-8-22)32-23-10-9-20(17-25(23)39-4)28(38)31-21-11-14-34(3)15-12-21/h9-10,17-19,21-22H,5-8,11-16H2,1-4H3,(H,31,38)(H,30,32,33)		COc1cc(ccc1Nc2ncc3N(C(C)C)C(=O)CCN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5		10087	10087-101-1	Nathanael Gray (DFCI)	XMD11-85h	XMD11-85h-1		O=C1CCN(C2CCCC2)C3=NC(NC4=CC=C(C(NC5CCN(C)CC5)=O)C=C4OC)=NC=C3N1C(C)C			535.33				
HG-6-64-01	LSM-43248	KIN001-206	53302361	InChI=1S/C32H34F3N5O2/c1-4-39-13-15-40(16-14-39)20-25-9-10-26(18-28(25)32(33,34)35)38-31(41)23-6-5-21(2)22(17-23)7-8-24-19-37-30-27(11-12-36-30)29(24)42-3/h5-12,17-19H,4,13-16,20H2,1-3H3,(H,36,37)(H,38,41)/b8-7+		CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(\C=C\c4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1		10017	10017-101-1	Nathanael Gray (DFCI)	HG-6-64-01	HG-6-64-01-1		CC1=CC=C(C(NC2=CC=C(CN3CCN(CC)CC3)C(C(F)(F)F)=C2)=O)C=C1/C=C/C4=C(OC)C5=C(NC=C5)N=C4			577.27				
WH-4-025	LSM-44937		73707529	InChI=1S/C39H38F3N7O5/c1-25-8-9-26(36(50)44-29-7-5-6-27(23-29)39(40,41)42)22-33(25)54-38(51)49(32-15-14-31(52-3)24-34(32)53-4)35-16-17-43-37(46-35)45-28-10-12-30(13-11-28)48-20-18-47(2)19-21-48/h5-17,22-24H,18-21H2,1-4H3,(H,44,50)(H,43,45,46)		COc1ccc(N(C(=O)Oc2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)c4ccnc(Nc5ccc(cc5)N6CCN(C)CC6)n4)c(OC)c1		10039	10039-101-1	Nathanael Gray (DFCI)	WH-4-025	WH-4-025-1		O=C(OC1=CC(C(NC2=CC=CC(C(F)(F)F)=C2)=O)=CC=C1C)N(C3=CC=C(OC)C=C3OC)C4=NC(NC5=CC=C(N6CCN(C)CC6)C=C5)=NC=C4			741.29				
WZ-4-145	LSM-5545		73707531	InChI=1S/C34H36Cl2N8O4/c1-5-30(45)40-24-8-6-22(7-9-24)20-44(34(46)41-33-31(35)26(47-3)18-27(48-4)32(33)36)29-19-28(37-21-38-29)39-23-10-12-25(13-11-23)43-16-14-42(2)15-17-43/h5-13,18-19,21H,1,14-17,20H2,2-4H3,(H,40,45)(H,41,46)(H,37,38,39)		COc1cc(OC)c(Cl)c(NC(=O)N(Cc2ccc(NC(=O)C=C)cc2)c3cc(Nc4ccc(cc4)N5CCN(C)CC5)ncn3)c1Cl		10082	10082-101-1	Nathanael Gray (DFCI)	WZ-4-145	WZ-4-145-1		O=C(NC1=C(Cl)C(OC)=CC(OC)=C1Cl)N(CC2=CC=C(NC(C=C)=O)C=C2)C3=CC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=N3			690.22				
XMD16-144	LSM-43287		73707533	InChI=1S/C25H27N7O2/c1-30(2)14-8-13-22(33)27-17-9-7-10-18(15-17)28-25-26-16-21-23(29-25)31(3)20-12-6-5-11-19(20)24(34)32(21)4/h5-13,15-16H,14H2,1-4H3,(H,27,33)(H,26,28,29)/b13-8+		CN(C)C\C=C\C(=O)Nc1cccc(Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)c1		10091	10091-101-1	Nathanael Gray (DFCI)	XMD16-144	XMD16-144-1		O=C1C2=C(C=CC=C2)N(C)C3=NC(NC4=CC(NC(/C=C/CN(C)C)=O)=CC=C4)=NC=C3N1C			457.22				
Brivanib	LSM-1178	BMS-540215	11451527	InChI=1S/C19H19FN4O3/c1-10-6-13-14(23-10)4-5-15(17(13)20)27-19-18-12(3)16(26-8-11(2)25)7-24(18)22-9-21-19/h4-7,9,11,23,25H,8H2,1-3H3		CC(O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C		10177	10177-101-1	Haoyuan chemexpress	HY-10337	n/a		CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C			370.14				
Buparlisib	LSM-1148	BKM120; NVP-BKM120	16654980	InChI=1S/C18H21F3N6O2/c19-18(20,21)13-9-15(22)23-11-12(13)14-10-16(26-1-5-28-6-2-26)25-17(24-14)27-3-7-29-8-4-27/h9-11H,1-8H2,(H2,22,23)		Nc1cc(c(cn1)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F		10147	10147-101-1	Haoyuan chemexpress	HY-70063	n/a		C1(N(CCO2)CC2)=NC(=CC(=N1)N(CCO1)CC1)C1=C(C(F)(F)F)C=C(N=C1)N			410.17				
BX-912	LSM-1055		11754511	InChI=1S/C20H23BrN8O/c21-17-12-24-19(28-18(17)23-7-6-16-11-22-13-25-16)26-14-4-3-5-15(10-14)27-20(30)29-8-1-2-9-29/h3-5,10-13H,1-2,6-9H2,(H,22,25)(H,27,30)(H2,23,24,26,28)		Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCc4c[nH]cn4		10055	10055-101-1	Haoyuan chemexpress	HY-11005	HY-999-20101004		BrC1=C(NCCC2=CNC=N2)N=C(NC3=CC(NC(N4CCCC4)=O)=CC=C3)N=C1			470.12				
Canertinib	LSM-1120	CI-1033; PD-183805	156414	InChI=1S/C24H25ClFN5O3/c1-2-23(32)30-21-13-17-20(14-22(21)34-9-3-6-31-7-10-33-11-8-31)27-15-28-24(17)29-16-4-5-19(26)18(25)12-16/h2,4-5,12-15H,1,3,6-11H2,(H,30,32)(H,27,28,29)		Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl		10120	10120-102-1	Haoyuan chemexpress	HY-10367A	n/a		Cl[H].Cl[H].FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(=O)C=C)C(OCCCN2CCOCC2)=C3)C=C1			485.16				
Celastrol	LSM-1117		5315765	InChI=1S/C29H38O4/c1-17-18-7-8-21-27(4,19(18)15-20(30)23(17)31)12-14-29(6)22-16-26(3,24(32)33)10-9-25(22,2)11-13-28(21,29)5/h7-8,15,22,31H,9-14,16H2,1-6H3,(H,32,33)/t22-,25-,26-,27+,28-,29?/m1/s1		CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CCC4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O		10117	10117-101-1	Haoyuan chemexpress	HY-13067	n/a		O=C1C=C2C(C(C)=C1O)=CC=C3[C@]2(CCC4([C@@H]5C[C@@](CC[C@@]5(CC[C@]34C)C)([C@@](O)=O)C)C)C			450.28				
CGP60474	LSM-1025	MLS000911536; SMR000463552	644215	InChI=1S/C18H18ClN5O/c19-14-3-1-4-15(12-14)23-18-22-9-6-16(24-18)13-5-8-21-17(11-13)20-7-2-10-25/h1,3-6,8-9,11-12,25H,2,7,10H2,(H,20,21)(H,22,23,24)		OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2		10025	10025-101-1	Haoyuan chemexpress	HY-11009	HM-088_8-20101230		ClC1=CC(NC2=NC=CC(C3=CC=NC(NCCCO)=C3)=N2)=CC=C1			355.12				
CHIR99021	LSM-1181	CT99021; KIN001-157	9956119	InChI=1S/C22H18Cl2N8/c1-13-10-29-21(31-13)17-12-30-22(32-20(17)16-4-3-15(23)8-18(16)24)27-7-6-26-19-5-2-14(9-25)11-28-19/h2-5,8,10-12H,6-7H2,1H3,(H,26,28)(H,29,31)(H,27,30,32)		Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(cn3)C#N)nc2c4ccc(Cl)cc4Cl		10180	10180-101-1	Haoyuan chemexpress	HY-10182	n/a		N#CC1=CN=C(NCCNC2=NC=C(C3=NC(C)=CN3)C(C4=CC=C(Cl)C=C4Cl)=N2)C=C1			464.10				
CP724714	LSM-42777		9874913	InChI=1S/C27H27N5O3/c1-18-13-21(8-11-25(18)35-22-9-6-19(2)29-15-22)32-27-23-14-20(7-10-24(23)30-17-31-27)5-4-12-28-26(33)16-34-3/h4-11,13-15,17H,12,16H2,1-3H3,(H,28,33)(H,30,31,32)/b5-4+		COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		10010	10010-101-1	Haoyuan chemexpress	HY-11008	HY-999-20101223		CC1=CC(NC2=NC=NC3=CC=C(/C=C/CNC(COC)=O)C=C32)=CC=C1OC4=CC=C(C)N=C4			469.21				
CP466722	LSM-1009		44551660	InChI=1S/C17H15N7O2/c1-25-13-7-10-12(8-14(13)26-2)20-9-21-16(10)24-17(18)22-15(23-24)11-5-3-4-6-19-11/h3-9H,1-2H3,(H2,18,22,23)		COc1cc2ncnc(c2cc1OC)n3nc(nc3N)c4ccccn4		10009	10009-101-1	Axon Medchem	1495	2		NC1=NC(C2=NC=CC=C2)=NN1C3=C4C=C(OC)C(OC)=CC4=NC=N3			349.13				
Crizotinib	LSM-1027	PF02341066	11626560	InChI=1S/C21H22Cl2FN5O/c1-12(19-16(22)2-3-17(24)20(19)23)30-18-8-13(9-27-21(18)25)14-10-28-29(11-14)15-4-6-26-7-5-15/h2-3,8-12,15,26H,4-7H2,1H3,(H2,25,27)/t12-/m1/s1		C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl		10027	10027-101-1	Haoyuan chemexpress	HY-50878	HM-036_12-20100427		C[C@H](C2=C(Cl)C(F)=CC=C2Cl)OC1=CC(C3=CN(C4CCNCC4)N=C3)=CN=C1N			449.12				
momelotinib	LSM-1141	Momelotinib	25062766	InChI=1S/C23H22N6O2/c24-10-12-25-22(30)18-3-1-17(2-4-18)21-9-11-26-23(28-21)27-19-5-7-20(8-6-19)29-13-15-31-16-14-29/h1-9,11H,12-16H2,(H,25,30)(H,26,27,28)		O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2		10140	10140-101-1	Haoyuan chemexpress	HY-10961	n/a		C1C=C(C=CC=1C(C=CN1)=NC=1NC(=CC=C1N(CCO2)CC2)C=C1)C(NCC#N)=O			414.18				
Dasatinib	LSM-1020	BMS-354825; Sprycel	3062316	InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)		Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4		10020	10020-101-1	Haoyuan chemexpress	HY-10181	HY-999-20101220		O=C(NC4=C(Cl)C=CC=C4C)C(S2)=CN=C2NC1=CC(N3CCN(CCO)CC3)=NC(C)=N1			487.16				
Dovitinib	LSM-1127	TKI_258; TKI258	49830557	InChI=1S/C21H21FN6O/c1-27-7-9-28(10-8-27)12-5-6-14-16(11-12)25-20(24-14)18-19(23)17-13(22)3-2-4-15(17)26-21(18)29/h2-6,11,24-25H,7-10,23H2,1H3		CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O		10127	10127-101-1	Haoyuan chemexpress	HY-50905	n/a		O=C1NC2=C(C(F)=CC=C2)C(N)=C1C3=NC4=CC=C(N5CCN(C)CC5)C=C4N3			392.18				
