Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Small Mol Concentration	Small Mol Conc Unit	LJP Library Plate	Timepoint	Timepoint Unit	Mean Total Cell Count Before Treatment	Mean Total Cell Count After Treatment	Mean Total Control Cell Count	Mean Relative Cell Count	Mean Relative Growth Rate After Treatment
50105	BT-20	10161-101-1	Luminespib	0.12	uM	LJP5	72	hr	1097	1164	3769	0.3090	0.0252
50105	BT-20	10045-101-1	A443654	0.12	uM	LJP6	72	hr	1097	1500	3769	0.3981	0.1510
50105	BT-20	10063-102-1	OSI-027	0.12	uM	LJP6	72	hr	1097	2885	3769	0.7654	0.6690
50105	BT-20	10087-101-1	XMD11-85h	0.12	uM	LJP6	72	hr	1097	3201	3769	0.8492	0.7873
50105	BT-20	10017-101-1	HG-6-64-01	0.12	uM	LJP6	72	hr	1097	2796	3769	0.7417	0.6357
50105	BT-20	10039-101-1	WH-4-025	0.12	uM	LJP5	72	hr	1097	3344	3769	0.8872	0.8409
50105	BT-20	10082-101-1	WZ-4-145	0.12	uM	LJP6	72	hr	1097	2948	3769	0.7821	0.6926
50105	BT-20	10091-101-1	XMD16-144	0.12	uM	LJP5	72	hr	1097	1569	3769	0.4163	0.1767
50105	BT-20	10177-101-1	Brivanib	0.12	uM	LJP5	72	hr	1097	3567	3769	0.9465	0.9245
50105	BT-20	10147-101-1	Buparlisib	0.12	uM	LJP5	72	hr	1097	3018	3769	0.8007	0.7189
50105	BT-20	10055-101-1	BX-912	0.12	uM	LJP5	72	hr	1097	3707	3769	0.9835	0.9767
50105	BT-20	10120-102-1	Canertinib	0.12	uM	LJP6	72	hr	1097	3273	3769	0.8685	0.8144
50105	BT-20	10117-101-1	Celastrol	0.12	uM	LJP6	72	hr	1097	3935	3769	1.0439	1.0619
50105	BT-20	10025-101-1	CGP60474	0.12	uM	LJP5	72	hr	1097	932	3769	0.2473	-0.0617
50105	BT-20	10025-101-1	CGP60474	0.12	uM	LJP6	72	hr	1097	663	3769	0.1760	-0.1624
50105	BT-20	10180-101-1	CHIR-99021	0.12	uM	LJP6	72	hr	1097	3254	3769	0.8633	0.8072
50105	BT-20	10010-101-1	CP724714	0.12	uM	LJP5	72	hr	1097	3658	3769	0.9706	0.9585
50105	BT-20	10009-101-1	CP466722	0.12	uM	LJP5	72	hr	1097	4048	3769	1.0740	1.1045
50105	BT-20	10027-101-1	Crizotinib	0.12	uM	LJP5	72	hr	1097	3563	3769	0.9452	0.9227
50105	BT-20	10140-101-1	Momelotinib	0.12	uM	LJP5	72	hr	1097	3476	3769	0.9223	0.8904
50105	BT-20	10020-101-1	Dasatinib	0.12	uM	LJP5	72	hr	1097	2306	3769	0.6118	0.4525
50105	BT-20	10020-101-1	Dasatinib	0.12	uM	LJP6	72	hr	1097	1455	3769	0.3862	0.1341
50105	BT-20	10127-101-1	Dovitinib	0.12	uM	LJP5	72	hr	1097	2546	3769	0.6754	0.5421
50105	BT-20	10069-101-1	Enzastaurin	0.12	uM	LJP5	72	hr	1097	4042	3769	1.0723	1.1020
50105	BT-20	10097-101-1	Erlotinib	0.12	uM	LJP5	72	hr	1097	3281	3769	0.8704	0.8172
50105	BT-20	10157-101-1	Foretinib	0.12	uM	LJP5	72	hr	1097	3635	3769	0.9643	0.9497
50105	BT-20	10040-101-1	R406	0.12	uM	LJP6	72	hr	1097	3598	3769	0.9547	0.9361
50105	BT-20	10047-101-1	GDC-0941	0.12	uM	LJP6	72	hr	1097	2576	3769	0.6836	0.5536
50105	BT-20	10098-101-1	Gefitinib	0.12	uM	LJP6	72	hr	1097	3197	3769	0.8481	0.7858
50105	BT-20	10108-101-1	Geldanamycin	0.12	uM	LJP5	72	hr	1097	1238	3769	0.3285	0.0528
50105	BT-20	10108-101-1	Geldanamycin	0.12	uM	LJP6	72	hr	1097	1049	3769	0.2785	-0.0178
50105	BT-20	10172-101-1	GSK1059615	0.12	uM	LJP5	72	hr	1097	2863	3769	0.7595	0.6608
50105	BT-20	10172-101-1	GSK1059615	0.12	uM	LJP6	72	hr	1097	2383	3769	0.6322	0.4811
50105	BT-20	10134-101-1	GSK1904529A	0.12	uM	LJP6	72	hr	1097	3289	3769	0.8725	0.8202
50105	BT-20	10146-101-1	Omipalisib	0.12	uM	LJP6	72	hr	1097	729	3769	0.1934	-0.1378
50105	BT-20	10128-101-1	GSK 690693	0.12	uM	LJP5	72	hr	1097	2905	3769	0.7708	0.6767
50105	BT-20	10014-101-1	GW843682X	0.12	uM	LJP6	72	hr	1097	2174	3769	0.5768	0.4031
50105	BT-20	10015-101-1	HG-5-113-01	0.12	uM	LJP5	72	hr	1097	3485	3769	0.9245	0.8935
50105	BT-20	10016-101-1	HG-5-88-01	0.12	uM	LJP6	72	hr	1097	3491	3769	0.9263	0.8960
50105	BT-20	10023-103-1	Imatinib	0.12	uM	LJP6	72	hr	1097	3779	3769	1.0026	1.0037
50105	BT-20	10100-101-1	JNK-9L	0.12	uM	LJP6	72	hr	1097	2972	3769	0.7884	0.7016
50105	BT-20	10019-101-1	JW-7-24-1	0.12	uM	LJP6	72	hr	1097	3059	3769	0.8115	0.7341
50105	BT-20	10051-104-1	Lapatinib	0.12	uM	LJP6	72	hr	1097	3280	3769	0.8703	0.8171
50105	BT-20	10115-102-1	LDN-193189	0.12	uM	LJP5	72	hr	1097	3388	3769	0.8989	0.8574
50105	BT-20	10182-101-1	Linifanib	0.12	uM	LJP6	72	hr	1097	3763	3769	0.9983	0.9976
50105	BT-20	10135-101-1	Linsitinib	0.12	uM	LJP5	72	hr	1097	3616	3769	0.9593	0.9425
50105	BT-20	10479-102-1	Mitoxantrone	0.12	uM	LJP5	72	hr	1097	1136	3769	0.3014	0.0145
50105	BT-20	10479-102-1	Mitoxantrone	0.12	uM	LJP6	72	hr	1097	1149	3769	0.3050	0.0196
50105	BT-20	10057-102-1	MK2206	0.12	uM	LJP6	72	hr	1097	2986	3769	0.7923	0.7070
50105	BT-20	10018-101-1	Neratinib	0.12	uM	LJP5	72	hr	1097	2626	3769	0.6968	0.5723
50105	BT-20	10099-101-1	Nilotinib	0.12	uM	LJP5	72	hr	1097	4002	3769	1.0618	1.0872
50105	BT-20	10151-101-1	Nintedanib	0.12	uM	LJP6	72	hr	1097	3389	3769	0.8992	0.8579
50105	BT-20	10061-101-1	NU7441	0.12	uM	LJP5	72	hr	1097	3754	3769	0.9959	0.9942
50105	BT-20	10232-101-1	BEZ235	0.12	uM	LJP5	72	hr	1097	1098	3769	0.2913	0.0003
50105	BT-20	10024-101-1	NVP-TAE684	0.12	uM	LJP6	72	hr	1097	3679	3769	0.9762	0.9664
50105	BT-20	10071-101-1	Palbociclib	0.12	uM	LJP6	72	hr	1097	1959	3769	0.5197	0.3225
50105	BT-20	10101-101-1	PD0325901	0.12	uM	LJP5	72	hr	1097	3094	3769	0.8209	0.7473
50105	BT-20	10101-101-1	PD0325901	0.12	uM	LJP6	72	hr	1097	3152	3769	0.8363	0.7690
50105	BT-20	10026-101-1	PD173074	0.12	uM	LJP6	72	hr	1097	3999	3769	1.0609	1.0859
50105	BT-20	10048-101-1	PD184352	0.12	uM	LJP5	72	hr	1097	3927	3769	1.0419	1.0592
50105	BT-20	10159-101-1	Pelitinib	0.12	uM	LJP5	72	hr	1097	3065	3769	0.8132	0.7365
50105	BT-20	10116-101-1	PF431396	0.12	uM	LJP5	72	hr	1097	2975	3769	0.7894	0.7029
50105	BT-20	10112-101-1	PF477736	0.12	uM	LJP5	72	hr	1097	3621	3769	0.9606	0.9444
50105	BT-20	10072-101-1	PF562271	0.12	uM	LJP6	72	hr	1097	3400	3769	0.9021	0.8620
50105	BT-20	10125-101-1	PHA-665752	0.12	uM	LJP5	72	hr	1097	3713	3769	0.9852	0.9791
50105	BT-20	10073-101-1	PHA-793887	0.12	uM	LJP6	72	hr	1097	2010	3769	0.5333	0.3417
50105	BT-20	10126-101-1	PI103	0.12	uM	LJP6	72	hr	1097	2064	3769	0.5476	0.3619
50105	BT-20	10049-101-1	PLX-4720	0.12	uM	LJP5	72	hr	1097	3852	3769	1.0219	1.0309
50105	BT-20	10075-101-1	QL-X-138	0.12	uM	LJP6	72	hr	1097	2941	3769	0.7803	0.6901
50105	BT-20	10077-101-1	QL-XII-47	0.12	uM	LJP6	72	hr	1097	1649	3769	0.4375	0.2066
50105	BT-20	10480-101-1	Radicicol	0.12	uM	LJP5	72	hr	1097	2153	3769	0.5713	0.3953
50105	BT-20	10480-101-1	Radicicol	0.12	uM	LJP6	72	hr	1097	1746	3769	0.4632	0.2428
50105	BT-20	10001-101-1	Seliciclib	0.12	uM	LJP5	72	hr	1097	3839	3769	1.0186	1.0262
50105	BT-20	10138-105-1	Ruxolitinib	0.12	uM	LJP5	72	hr	1097	3629	3769	0.9628	0.9475
50105	BT-20	10148-101-1	XL147	0.12	uM	LJP5	72	hr	1097	4280	3769	1.1356	1.1913
50105	BT-20	10032-101-1	Saracatinib	0.12	uM	LJP6	72	hr	1097	3436	3769	0.9117	0.8754
50105	BT-20	10056-101-1	Selumetinib	0.12	uM	LJP6	72	hr	1097	3420	3769	0.9075	0.8695
50105	BT-20	10052-101-1	Sirolimus	0.12	uM	LJP6	72	hr	1097	2217	3769	0.5883	0.4193
50105	BT-20	10008-101-1	Sorafenib	0.12	uM	LJP6	72	hr	1097	3487	3769	0.9251	0.8943
50105	BT-20	10119-101-1	SU11274	0.12	uM	LJP5	72	hr	1097	3970	3769	1.0532	1.0750
50105	BT-20	10141-101-1	TG 101348	0.12	uM	LJP5	72	hr	1097	3770	3769	1.0002	1.0003
50105	BT-20	10171-101-1	TGX221	0.12	uM	LJP5	72	hr	1097	3695	3769	0.9802	0.9721
50105	BT-20	10079-101-1	Torin1	0.12	uM	LJP6	72	hr	1097	1134	3769	0.3008	0.0138
50105	BT-20	10080-101-1	Torin2	0.12	uM	LJP5	72	hr	1097	926	3769	0.2458	-0.0638
50105	BT-20	10021-101-1	Tozasertib	0.12	uM	LJP5	72	hr	1097	1389	3769	0.3687	0.1094
50105	BT-20	10142-101-1	Trametinib	0.12	uM	LJP5	72	hr	1097	3041	3769	0.8067	0.7274
50105	BT-20	10111-101-1	TWS119	0.12	uM	LJP5	72	hr	1097	3757	3769	0.9967	0.9953
50105	BT-20	10068-101-1	Vemurafenib	0.12	uM	LJP5	72	hr	1097	3676	3769	0.9753	0.9651
50105	BT-20	10481-101-1	Withaferin A	0.12	uM	LJP5	72	hr	1097	4236	3769	1.1238	1.1747
50105	BT-20	10481-101-1	Withaferin A	0.12	uM	LJP6	72	hr	1097	3547	3769	0.9410	0.9167
50105	BT-20	10064-101-1	WYE-125132	0.12	uM	LJP6	72	hr	1097	1399	3769	0.3711	0.1129
50105	BT-20	10084-101-1	WZ3105	0.12	uM	LJP5	72	hr	1097	1293	3769	0.3430	0.0733
50105	BT-20	10086-101-1	XMD11-50	0.12	uM	LJP6	72	hr	1097	2696	3769	0.7152	0.5983
50105	BT-20	10149-102-1	Y39983	0.12	uM	LJP6	72	hr	1097	3444	3769	0.9138	0.8784
50105	BT-20	10109-101-1	YM 201636	0.12	uM	LJP5	72	hr	1097	3822	3769	1.0141	1.0199
50105	BT-20	10053-101-1	ZSTK474	0.12	uM	LJP6	72	hr	1097	2700	3769	0.7163	0.5998
50105	BT-20	10133-101-1	Afatinib	0.37	uM	LJP6	72	hr	1097	3081	3769	0.8173	0.7423
50105	BT-20	10035-101-1	Sigma A6730	0.37	uM	LJP5	72	hr	1097	3512	3769	0.9317	0.9036
50105	BT-20	10011-101-1	Alvocidib	0.37	uM	LJP6	72	hr	1097	611	3769	0.1621	-0.1820
50105	BT-20	10004-101-1	AT-7519	0.37	uM	LJP6	72	hr	1097	832	3769	0.2207	-0.0993
50105	BT-20	10158-101-1	AZD 5438	0.37	uM	LJP6	72	hr	1097	1456	3769	0.3863	0.1343
50105	BT-20	10059-101-1	AZD-6482	0.37	uM	LJP5	72	hr	1097	2931	3769	0.7777	0.6865
50105	BT-20	10006-101-1	AZD7762	0.37	uM	LJP6	72	hr	1097	2115	3769	0.5611	0.3809
