Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Small Mol Concentration	Small Mol Conc Unit	LJP Library Plate	Timepoint	Timepoint Unit	Mean Total Cell Count Before Treatment	Mean Total Cell Count After Treatment	Mean Total Control Cell Count	Mean Relative Cell Count	Mean Normalized Growth Rate Inhibition Value
50029	MCF7	10008-101-1	Sorafenib	3.33	uM	LJP6	72	hr	1235	3446	4056	0.8503	0.8195
50029	MCF7	10008-101-1	Sorafenib	10	uM	LJP6	72	hr	1235	1645	4056	0.4061	0.1821
50029	MCF7	10009-101-1	CP466722	0.04	uM	LJP5	72	hr	1235	4851	4267	1.1371	1.1490
50029	MCF7	10009-101-1	CP466722	0.12	uM	LJP5	72	hr	1235	4537	4267	1.0633	1.0695
50029	MCF7	10009-101-1	CP466722	0.37	uM	LJP5	72	hr	1235	4829	4267	1.1306	1.1406
50029	MCF7	10009-101-1	CP466722	1.11	uM	LJP5	72	hr	1235	4687	4267	1.0985	1.1079
50029	MCF7	10009-101-1	CP466722	3.33	uM	LJP5	72	hr	1235	4230	4267	0.9910	0.9888
50029	MCF7	10009-101-1	CP466722	10	uM	LJP5	72	hr	1235	1972	4267	0.4623	0.2987
50029	MCF7	10010-101-1	CP724714	0.04	uM	LJP5	72	hr	1235	3247	4267	0.7619	0.7178
50029	MCF7	10010-101-1	CP724714	0.12	uM	LJP5	72	hr	1235	3363	4267	0.7888	0.7515
50029	MCF7	10010-101-1	CP724714	0.37	uM	LJP5	72	hr	1235	3410	4267	0.7997	0.7651
50029	MCF7	10010-101-1	CP724714	1.11	uM	LJP5	72	hr	1235	3304	4267	0.7743	0.7334
50029	MCF7	10010-101-1	CP724714	3.33	uM	LJP5	72	hr	1235	3278	4267	0.7684	0.7259
50029	MCF7	10010-101-1	CP724714	10	uM	LJP5	72	hr	1235	2110	4267	0.4950	0.3495
50029	MCF7	10011-101-1	Alvocidib	0.04	uM	LJP6	72	hr	1235	1126	4056	0.2776	-0.0528
50029	MCF7	10011-101-1	Alvocidib	0.12	uM	LJP6	72	hr	1235	676	4056	0.1668	-0.2966
50029	MCF7	10011-101-1	Alvocidib	0.37	uM	LJP6	72	hr	1235	694	4056	0.1712	-0.2854
50029	MCF7	10011-101-1	Alvocidib	1.11	uM	LJP6	72	hr	1235	573	4056	0.1413	-0.3613
50029	MCF7	10011-101-1	Alvocidib	3.33	uM	LJP6	72	hr	1235	542	4056	0.1338	-0.3813
50029	MCF7	10011-101-1	Alvocidib	10	uM	LJP6	72	hr	1235	512	4056	0.1258	-0.4073
50029	MCF7	10014-101-1	GW843682X	0.04	uM	LJP6	72	hr	1235	3022	4056	0.7449	0.6839
50029	MCF7	10014-101-1	GW843682X	0.12	uM	LJP6	72	hr	1235	1616	4056	0.3977	0.1658
50029	MCF7	10014-101-1	GW843682X	0.37	uM	LJP6	72	hr	1235	1517	4056	0.3744	0.1272
50029	MCF7	10014-101-1	GW843682X	1.11	uM	LJP6	72	hr	1235	1433	4056	0.3534	0.0904
50029	MCF7	10014-101-1	GW843682X	3.33	uM	LJP6	72	hr	1235	1328	4056	0.3277	0.0433
50029	MCF7	10014-101-1	GW843682X	10	uM	LJP6	72	hr	1235	1612	4056	0.3976	0.1682
50029	MCF7	10015-101-1	HG-5-113-01	0.04	uM	LJP5	72	hr	1235	3513	4267	0.8246	0.7956
50029	MCF7	10015-101-1	HG-5-113-01	0.12	uM	LJP5	72	hr	1235	2603	4267	0.6116	0.5180
50029	MCF7	10015-101-1	HG-5-113-01	0.37	uM	LJP5	72	hr	1235	1706	4267	0.4006	0.1983
50029	MCF7	10015-101-1	HG-5-113-01	1.11	uM	LJP5	72	hr	1235	1446	4267	0.3389	0.0915
50029	MCF7	10015-101-1	HG-5-113-01	3.33	uM	LJP5	72	hr	1235	1371	4267	0.3216	0.0600
50029	MCF7	10015-101-1	HG-5-113-01	10	uM	LJP5	72	hr	1235	883	4267	0.2073	-0.1712
50029	MCF7	10016-101-1	HG-5-88-01	0.04	uM	LJP6	72	hr	1235	2625	4056	0.6466	0.5496
50029	MCF7	10016-101-1	HG-5-88-01	0.12	uM	LJP6	72	hr	1235	2639	4056	0.6514	0.5573
50029	MCF7	10016-101-1	HG-5-88-01	0.37	uM	LJP6	72	hr	1235	2225	4056	0.5484	0.4088
50029	MCF7	10016-101-1	HG-5-88-01	1.11	uM	LJP6	72	hr	1235	1895	4056	0.4673	0.2834
50029	MCF7	10016-101-1	HG-5-88-01	3.33	uM	LJP6	72	hr	1235	1501	4056	0.3699	0.1198
50029	MCF7	10016-101-1	HG-5-88-01	10	uM	LJP6	72	hr	1235	1192	4056	0.2939	-0.0207
50029	MCF7	10017-101-1	HG-6-64-01	0.04	uM	LJP6	72	hr	1235	4834	4056	1.1918	1.2152
50029	MCF7	10017-101-1	HG-6-64-01	0.12	uM	LJP6	72	hr	1235	4613	4056	1.1372	1.1557
50029	MCF7	10017-101-1	HG-6-64-01	0.37	uM	LJP6	72	hr	1235	3989	4056	0.9847	0.9816
50029	MCF7	10017-101-1	HG-6-64-01	1.11	uM	LJP6	72	hr	1235	3432	4056	0.8470	0.8153
50029	MCF7	10017-101-1	HG-6-64-01	3.33	uM	LJP6	72	hr	1235	2586	4056	0.6377	0.5385
50029	MCF7	10017-101-1	HG-6-64-01	10	uM	LJP6	72	hr	1235	701	4056	0.1733	-0.2817
50029	MCF7	10018-101-1	Neratinib	0.04	uM	LJP5	72	hr	1235	3207	4267	0.7514	0.7040
50029	MCF7	10018-101-1	Neratinib	0.12	uM	LJP5	72	hr	1235	2830	4267	0.6631	0.5890
50029	MCF7	10018-101-1	Neratinib	0.37	uM	LJP5	72	hr	1235	2689	4267	0.6306	0.5451
50029	MCF7	10018-101-1	Neratinib	1.11	uM	LJP5	72	hr	1235	2436	4267	0.5710	0.4617
50029	MCF7	10018-101-1	Neratinib	3.33	uM	LJP5	72	hr	1235	2031	4267	0.4761	0.3201
50029	MCF7	10018-101-1	Neratinib	10	uM	LJP5	72	hr	1235	1169	4267	0.2741	-0.0312
50029	MCF7	10019-101-1	JW-7-24-1	0.04	uM	LJP6	72	hr	1235	2487	4056	0.6129	0.5030
50029	MCF7	10019-101-1	JW-7-24-1	0.12	uM	LJP6	72	hr	1235	2410	4056	0.5943	0.4765
50029	MCF7	10019-101-1	JW-7-24-1	0.37	uM	LJP6	72	hr	1235	1837	4056	0.4528	0.2600
50029	MCF7	10019-101-1	JW-7-24-1	1.11	uM	LJP6	72	hr	1235	1666	4056	0.4106	0.1902
50029	MCF7	10019-101-1	JW-7-24-1	3.33	uM	LJP6	72	hr	1235	1581	4056	0.3904	0.1550
50029	MCF7	10019-101-1	JW-7-24-1	10	uM	LJP6	72	hr	1235	962	4056	0.2376	-0.1361
50029	MCF7	10020-101-1	Dasatinib	0.04	uM	LJP5	72	hr	1235	2621	4267	0.6157	0.5235
50029	MCF7	10020-101-1	Dasatinib	0.04	uM	LJP6	72	hr	1235	1127	4056	0.2781	-0.0520
50029	MCF7	10020-101-1	Dasatinib	0.12	uM	LJP5	72	hr	1235	1273	4267	0.2988	0.0173
50029	MCF7	10020-101-1	Dasatinib	0.12	uM	LJP6	72	hr	1235	989	4056	0.2442	-0.1218
50029	MCF7	10020-101-1	Dasatinib	0.37	uM	LJP5	72	hr	1235	906	4267	0.2127	-0.1589
50029	MCF7	10020-101-1	Dasatinib	0.37	uM	LJP6	72	hr	1235	972	4056	0.2395	-0.1308
50029	MCF7	10020-101-1	Dasatinib	1.11	uM	LJP5	72	hr	1235	999	4267	0.2344	-0.1123
50029	MCF7	10020-101-1	Dasatinib	1.11	uM	LJP6	72	hr	1235	1065	4056	0.2631	-0.0831
50029	MCF7	10020-101-1	Dasatinib	3.33	uM	LJP5	72	hr	1235	972	4267	0.2280	-0.1257
50029	MCF7	10020-101-1	Dasatinib	3.33	uM	LJP6	72	hr	1235	916	4056	0.2260	-0.1601
50029	MCF7	10020-101-1	Dasatinib	10	uM	LJP5	72	hr	1235	918	4267	0.2150	-0.1538
50029	MCF7	10020-101-1	Dasatinib	10	uM	LJP6	72	hr	1235	786	4056	0.1938	-0.2317
50029	MCF7	10021-101-1	Tozasertib	0.04	uM	LJP5	72	hr	1235	1440	4267	0.3377	0.0894
50029	MCF7	10021-101-1	Tozasertib	0.12	uM	LJP5	72	hr	1235	1383	4267	0.3244	0.0653
50029	MCF7	10021-101-1	Tozasertib	0.37	uM	LJP5	72	hr	1235	1483	4267	0.3479	0.1079
50029	MCF7	10021-101-1	Tozasertib	1.11	uM	LJP5	72	hr	1235	1368	4267	0.3208	0.0586
50029	MCF7	10021-101-1	Tozasertib	3.33	uM	LJP5	72	hr	1235	1433	4267	0.3365	0.0872
50029	MCF7	10021-101-1	Tozasertib	10	uM	LJP5	72	hr	1235	1318	4267	0.3093	0.0369
50029	MCF7	10023-103-1	Imatinib	0.04	uM	LJP6	72	hr	1235	4481	4056	1.1045	1.1187
50029	MCF7	10023-103-1	Imatinib	0.12	uM	LJP6	72	hr	1235	4463	4056	1.1009	1.1145
50029	MCF7	10023-103-1	Imatinib	0.37	uM	LJP6	72	hr	1235	4629	4056	1.1420	1.1596
50029	MCF7	10023-103-1	Imatinib	1.11	uM	LJP6	72	hr	1235	4431	4056	1.0919	1.1043
50029	MCF7	10023-103-1	Imatinib	3.33	uM	LJP6	72	hr	1235	4335	4056	1.0693	1.0789
50029	MCF7	10023-103-1	Imatinib	10	uM	LJP6	72	hr	1235	3826	4056	0.9431	0.9310
50029	MCF7	10024-101-1	NVP-TAE684	0.04	uM	LJP6	72	hr	1235	2633	4056	0.6499	0.5548
50029	MCF7	10024-101-1	NVP-TAE684	0.12	uM	LJP6	72	hr	1235	1410	4056	0.3478	0.0803
50029	MCF7	10024-101-1	NVP-TAE684	0.37	uM	LJP6	72	hr	1235	1196	4056	0.2949	-0.0187
50029	MCF7	10024-101-1	NVP-TAE684	1.11	uM	LJP6	72	hr	1235	1065	4056	0.2630	-0.0834
50029	MCF7	10024-101-1	NVP-TAE684	3.33	uM	LJP6	72	hr	1235	1021	4056	0.2515	-0.1058
50029	MCF7	10024-101-1	NVP-TAE684	10	uM	LJP6	72	hr	1235	1168	4056	0.2881	-0.0319
50029	MCF7	10025-101-1	CGP60474	0.04	uM	LJP5	72	hr	1235	4211	4267	0.9887	0.9876
50029	MCF7	10025-101-1	CGP60474	0.04	uM	LJP6	72	hr	1235	604	4056	0.1487	-0.3425
50029	MCF7	10025-101-1	CGP60474	0.12	uM	LJP5	72	hr	1235	774	4267	0.1812	-0.2311
50029	MCF7	10025-101-1	CGP60474	0.12	uM	LJP6	72	hr	1235	587	4056	0.1448	-0.3520
50029	MCF7	10025-101-1	CGP60474	0.37	uM	LJP5	72	hr	1235	777	4267	0.1822	-0.2286
50029	MCF7	10025-101-1	CGP60474	0.37	uM	LJP6	72	hr	1235	592	4056	0.1461	-0.3491
50029	MCF7	10025-101-1	CGP60474	1.11	uM	LJP5	72	hr	1235	861	4267	0.2024	-0.1851
50029	MCF7	10025-101-1	CGP60474	1.11	uM	LJP6	72	hr	1235	551	4056	0.1358	-0.3756
50029	MCF7	10025-101-1	CGP60474	3.33	uM	LJP5	72	hr	1235	673	4267	0.1576	-0.2896
50029	MCF7	10025-101-1	CGP60474	3.33	uM	LJP6	72	hr	1235	514	4056	0.1269	-0.4009
50029	MCF7	10025-101-1	CGP60474	10	uM	LJP5	72	hr	1235	670	4267	0.1573	-0.2899
50029	MCF7	10025-101-1	CGP60474	10	uM	LJP6	72	hr	1235	383	4056	0.0945	-0.4947
50029	MCF7	10026-101-1	PD173074	0.04	uM	LJP6	72	hr	1235	4512	4056	1.1128	1.1288
50029	MCF7	10026-101-1	PD173074	0.12	uM	LJP6	72	hr	1235	4427	4056	1.0920	1.1053
50029	MCF7	10026-101-1	PD173074	0.37	uM	LJP6	72	hr	1235	4506	4056	1.1119	1.1274
50029	MCF7	10026-101-1	PD173074	1.11	uM	LJP6	72	hr	1235	4692	4056	1.1566	1.1765
50029	MCF7	10026-101-1	PD173074	3.33	uM	LJP6	72	hr	1235	4840	4056	1.1932	1.2169
50029	MCF7	10026-101-1	PD173074	10	uM	LJP6	72	hr	1235	3129	4056	0.7716	0.7187
50029	MCF7	10027-101-1	Crizotinib	0.04	uM	LJP5	72	hr	1235	3325	4267	0.7794	0.7387
50029	MCF7	10027-101-1	Crizotinib	0.12	uM	LJP5	72	hr	1235	3061	4267	0.7180	0.6618
50029	MCF7	10027-101-1	Crizotinib	0.37	uM	LJP5	72	hr	1235	2485	4267	0.5824	0.4780
50029	MCF7	10027-101-1	Crizotinib	1.11	uM	LJP5	72	hr	1235	1641	4267	0.3845	0.1715
50029	MCF7	10027-101-1	Crizotinib	3.33	uM	LJP5	72	hr	1235	1243	4267	0.2913	0.0030
50029	MCF7	10027-101-1	Crizotinib	10	uM	LJP5	72	hr	1235	750	4267	0.1755	-0.2447
50029	MCF7	10028-102-1	BMS345541	0.04	uM	LJP6	72	hr	1235	4482	4056	1.1046	1.1188
50029	MCF7	10028-102-1	BMS345541	0.12	uM	LJP6	72	hr	1235	4307	4056	1.0614	1.0705
50029	MCF7	10028-102-1	BMS345541	0.37	uM	LJP6	72	hr	1235	3766	4056	0.9291	0.9122
50029	MCF7	10028-102-1	BMS345541	1.11	uM	LJP6	72	hr	1235	2068	4056	0.5105	0.3498
50029	MCF7	10028-102-1	BMS345541	3.33	uM	LJP6	72	hr	1235	975	4056	0.2404	-0.1289
50029	MCF7	10028-102-1	BMS345541	10	uM	LJP6	72	hr	1235	866	4056	0.2132	-0.1885
50029	MCF7	10031-101-1	KIN001-043	0.04	uM	LJP6	72	hr	1235	3928	4056	0.9685	0.9632
50029	MCF7	10031-101-1	KIN001-043	0.12	uM	LJP6	72	hr	1235	3752	4056	0.9264	0.9118
50029	MCF7	10031-101-1	KIN001-043	0.37	uM	LJP6	72	hr	1235	3856	4056	0.9506	0.9415
50029	MCF7	10031-101-1	KIN001-043	1.11	uM	LJP6	72	hr	1235	3697	4056	0.9112	0.8944
50029	MCF7	10031-101-1	KIN001-043	3.33	uM	LJP6	72	hr	1235	3437	4056	0.8478	0.8164
50029	MCF7	10031-101-1	KIN001-043	10	uM	LJP6	72	hr	1235	1765	4056	0.4350	0.2307
50029	MCF7	10032-101-1	Saracatinib	0.04	uM	LJP6	72	hr	1235	3767	4056	0.9293	0.9157
50029	MCF7	10032-101-1	Saracatinib	0.12	uM	LJP6	72	hr	1235	2857	4056	0.7050	0.6295
50029	MCF7	10032-101-1	Saracatinib	0.37	uM	LJP6	72	hr	1235	2013	4056	0.4969	0.3296
50029	MCF7	10032-101-1	Saracatinib	1.11	uM	LJP6	72	hr	1235	1688	4056	0.4160	0.1981
50029	MCF7	10032-101-1	Saracatinib	3.33	uM	LJP6	72	hr	1235	1502	4056	0.3702	0.1204
50029	MCF7	10032-101-1	Saracatinib	10	uM	LJP6	72	hr	1235	1703	4056	0.4198	0.2044
50029	MCF7	10035-101-1	Sigma A6730	0.04	uM	LJP5	72	hr	1235	3330	4267	0.7796	0.7379
50029	MCF7	10035-101-1	Sigma A6730	0.12	uM	LJP5	72	hr	1235	3215	4267	0.7537	0.7076
50029	MCF7	10035-101-1	Sigma A6730	0.37	uM	LJP5	72	hr	1235	3167	4267	0.7430	0.6937
50029	MCF7	10035-101-1	Sigma A6730	1.11	uM	LJP5	72	hr	1235	2317	4267	0.5436	0.4221
50029	MCF7	10035-101-1	Sigma A6730	3.33	uM	LJP5	72	hr	1235	2373	4267	0.5560	0.4399
50029	MCF7	10035-101-1	Sigma A6730	10	uM	LJP5	72	hr	1235	1211	4267	0.2839	-0.0120
50029	MCF7	10039-101-1	WH-4-025	0.04	uM	LJP5	72	hr	1235	4203	4267	0.9846	0.9821
50029	MCF7	10039-101-1	WH-4-025	0.12	uM	LJP5	72	hr	1235	2787	4267	0.6530	0.5752
50029	MCF7	10039-101-1	WH-4-025	0.37	uM	LJP5	72	hr	1235	1967	4267	0.4616	0.2978
50029	MCF7	10039-101-1	WH-4-025	1.11	uM	LJP5	72	hr	1235	1226	4267	0.2866	-0.0076
50029	MCF7	10039-101-1	WH-4-025	3.33	uM	LJP5	72	hr	1235	1388	4267	0.3259	0.0678
50029	MCF7	10039-101-1	WH-4-025	10	uM	LJP5	72	hr	1235	1043	4267	0.2445	-0.0907
50029	MCF7	10040-101-1	R406	0.04	uM	LJP6	72	hr	1235	4106	4056	1.0121	1.0134
50029	MCF7	10040-101-1	R406	0.12	uM	LJP6	72	hr	1235	4432	4056	1.0921	1.1050
50029	MCF7	10040-101-1	R406	0.37	uM	LJP6	72	hr	1235	3615	4056	0.8913	0.8702
50029	MCF7	10040-101-1	R406	1.11	uM	LJP6	72	hr	1235	3733	4056	0.9203	0.9053
50029	MCF7	10040-101-1	R406	3.33	uM	LJP6	72	hr	1235	3054	4056	0.7535	0.6956
50029	MCF7	10040-101-1	R406	10	uM	LJP6	72	hr	1235	1756	4056	0.4329	0.2272
50029	MCF7	10041-101-1	BI-2536	0.04	uM	LJP6	72	hr	1235	1523	4056	0.3753	0.1294
50029	MCF7	10041-101-1	BI-2536	0.12	uM	LJP6	72	hr	1235	1399	4056	0.3450	0.0752
50029	MCF7	10041-101-1	BI-2536	0.37	uM	LJP6	72	hr	1235	1463	4056	0.3608	0.1037
50029	MCF7	10041-101-1	BI-2536	1.11	uM	LJP6	72	hr	1235	1512	4056	0.3730	0.1253
50029	MCF7	10041-101-1	BI-2536	3.33	uM	LJP6	72	hr	1235	1395	4056	0.3441	0.0735
50029	MCF7	10041-101-1	BI-2536	10	uM	LJP6	72	hr	1235	934	4056	0.2307	-0.1511
50029	MCF7	10045-101-1	A443654	0.04	uM	LJP6	72	hr	1235	1024	4056	0.2524	-0.1040
50029	MCF7	10045-101-1	A443654	0.12	uM	LJP6	72	hr	1235	982	4056	0.2422	-0.1252
50029	MCF7	10045-101-1	A443654	0.37	uM	LJP6	72	hr	1235	838	4056	0.2067	-0.2026
50029	MCF7	10045-101-1	A443654	1.11	uM	LJP6	72	hr	1235	790	4056	0.1947	-0.2296
50029	MCF7	10045-101-1	A443654	3.33	uM	LJP6	72	hr	1235	584	4056	0.1442	-0.3553
50029	MCF7	10045-101-1	A443654	10	uM	LJP6	72	hr	1235	748	4056	0.1844	-0.2546
50029	MCF7	10046-101-1	SB590885	0.04	uM	LJP5	72	hr	1235	4382	4267	1.0253	1.0258
50029	MCF7	10046-101-1	SB590885	0.12	uM	LJP5	72	hr	1235	4368	4267	1.0218	1.0201
50029	MCF7	10046-101-1	SB590885	0.37	uM	LJP5	72	hr	1235	4641	4267	1.0866	1.0935
50029	MCF7	10046-101-1	SB590885	1.11	uM	LJP5	72	hr	1235	4899	4267	1.1480	1.1604
50029	MCF7	10046-101-1	SB590885	3.33	uM	LJP5	72	hr	1235	4700	4267	1.1012	1.1101
50029	MCF7	10046-101-1	SB590885	10	uM	LJP5	72	hr	1235	2702	4267	0.6332	0.5486
50029	MCF7	10047-101-1	GDC-0941	0.04	uM	LJP6	72	hr	1235	1727	4056	0.4257	0.2151
50029	MCF7	10047-101-1	GDC-0941	0.12	uM	LJP6	72	hr	1235	1451	4056	0.3577	0.0979
50029	MCF7	10047-101-1	GDC-0941	0.37	uM	LJP6	72	hr	1235	1203	4056	0.2968	-0.0153
50029	MCF7	10047-101-1	GDC-0941	1.11	uM	LJP6	72	hr	1235	1211	4056	0.2989	-0.0112
50029	MCF7	10047-101-1	GDC-0941	3.33	uM	LJP6	72	hr	1235	1191	4056	0.2937	-0.0213
50029	MCF7	10047-101-1	GDC-0941	10	uM	LJP6	72	hr	1235	1193	4056	0.2940	-0.0206
50029	MCF7	10048-101-1	PD184352	0.04	uM	LJP5	72	hr	1235	4127	4267	0.9665	0.9613
50029	MCF7	10048-101-1	PD184352	0.12	uM	LJP5	72	hr	1235	3911	4267	0.9172	0.9059
50029	MCF7	10048-101-1	PD184352	0.37	uM	LJP5	72	hr	1235	3401	4267	0.7967	0.7604
50029	MCF7	10048-101-1	PD184352	1.11	uM	LJP5	72	hr	1235	3287	4267	0.7703	0.7280
50029	MCF7	10048-101-1	PD184352	3.33	uM	LJP5	72	hr	1235	2897	4267	0.6791	0.6108
50029	MCF7	10048-101-1	PD184352	10	uM	LJP5	72	hr	1235	2074	4267	0.4856	0.3334
50029	MCF7	10049-101-1	PLX-4720	0.04	uM	LJP5	72	hr	1235	4683	4267	1.0972	1.1062
50029	MCF7	10049-101-1	PLX-4720	0.12	uM	LJP5	72	hr	1235	3969	4267	0.9288	0.9152
50029	MCF7	10049-101-1	PLX-4720	0.37	uM	LJP5	72	hr	1235	4133	4267	0.9681	0.9630
50029	MCF7	10049-101-1	PLX-4720	1.11	uM	LJP5	72	hr	1235	4186	4267	0.9820	0.9803
50029	MCF7	10049-101-1	PLX-4720	3.33	uM	LJP5	72	hr	1235	3327	4267	0.7799	0.7402
50029	MCF7	10049-101-1	PLX-4720	10	uM	LJP5	72	hr	1235	2141	4267	0.5032	0.3604
50029	MCF7	10051-104-1	Lapatinib	0.04	uM	LJP6	72	hr	1235	2964	4056	0.7319	0.6659
50029	MCF7	10051-104-1	Lapatinib	0.12	uM	LJP6	72	hr	1235	3265	4056	0.8057	0.7630
50029	MCF7	10051-104-1	Lapatinib	0.37	uM	LJP6	72	hr	1235	3706	4056	0.9130	0.8955
50029	MCF7	10051-104-1	Lapatinib	1.11	uM	LJP6	72	hr	1235	3799	4056	0.9368	0.9254
50029	MCF7	10051-104-1	Lapatinib	3.33	uM	LJP6	72	hr	1235	3964	4056	0.9764	0.9711
50029	MCF7	10051-104-1	Lapatinib	10	uM	LJP6	72	hr	1235	2264	4056	0.5585	0.4232
50029	MCF7	10052-101-1	Sirolimus	0.04	uM	LJP6	72	hr	1235	2655	4056	0.6541	0.5607
50029	MCF7	10052-101-1	Sirolimus	0.12	uM	LJP6	72	hr	1235	2650	4056	0.6532	0.5599
50029	MCF7	10052-101-1	Sirolimus	0.37	uM	LJP6	72	hr	1235	2499	4056	0.6160	0.5064
50029	MCF7	10052-101-1	Sirolimus	1.11	uM	LJP6	72	hr	1235	2650	4056	0.6531	0.5599
50029	MCF7	10052-101-1	Sirolimus	3.33	uM	LJP6	72	hr	1235	2532	4056	0.6242	0.5193
50029	MCF7	10052-101-1	Sirolimus	10	uM	LJP6	72	hr	1235	2605	4056	0.6421	0.5434
50029	MCF7	10053-101-1	ZSTK474	0.04	uM	LJP6	72	hr	1235	3330	4056	0.8218	0.7833
50029	MCF7	10053-101-1	ZSTK474	0.12	uM	LJP6	72	hr	1235	2292	4056	0.5656	0.4322
50029	MCF7	10053-101-1	ZSTK474	0.37	uM	LJP6	72	hr	1235	1566	4056	0.3863	0.1483
50029	MCF7	10053-101-1	ZSTK474	1.11	uM	LJP6	72	hr	1235	1337	4056	0.3299	0.0476
50029	MCF7	10053-101-1	ZSTK474	3.33	uM	LJP6	72	hr	1235	1270	4056	0.3134	0.0165
50029	MCF7	10053-101-1	ZSTK474	10	uM	LJP6	72	hr	1235	1338	4056	0.3303	0.0476
50029	MCF7	10055-101-1	BX-912	0.04	uM	LJP5	72	hr	1235	3458	4267	0.8088	0.7728
50029	MCF7	10055-101-1	BX-912	0.12	uM	LJP5	72	hr	1235	3692	4267	0.8657	0.8453
50029	MCF7	10055-101-1	BX-912	0.37	uM	LJP5	72	hr	1235	3339	4267	0.7824	0.7432
50029	MCF7	10055-101-1	BX-912	1.11	uM	LJP5	72	hr	1235	2350	4267	0.5517	0.4334
50029	MCF7	10055-101-1	BX-912	3.33	uM	LJP5	72	hr	1235	1930	4267	0.4528	0.2839
50029	MCF7	10055-101-1	BX-912	10	uM	LJP5	72	hr	1235	1281	4267	0.3002	0.0199
50029	MCF7	10056-101-1	Selumetinib	0.04	uM	LJP6	72	hr	1235	3986	4056	0.9833	0.9788
50029	MCF7	10056-101-1	Selumetinib	0.12	uM	LJP6	72	hr	1235	3193	4056	0.7886	0.7389
50029	MCF7	10056-101-1	Selumetinib	0.37	uM	LJP6	72	hr	1235	2879	4056	0.7104	0.6371
50029	MCF7	10056-101-1	Selumetinib	1.11	uM	LJP6	72	hr	1235	2833	4056	0.6990	0.6213
