Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	LJP Library Plate	AUC
50057	SK-BR-3	10041-101-1	BI-2536	LJP6	-0.1519
50057	SK-BR-3	10045-101-1	A443654	LJP6	-0.2459
50057	SK-BR-3	10046-101-1	SB590885	LJP5	0.9075
50057	SK-BR-3	10047-101-1	GDC-0941	LJP6	0.1293
50057	SK-BR-3	10048-101-1	PD184352	LJP5	0.9614
50057	SK-BR-3	10049-101-1	PLX-4720	LJP5	0.8257
50057	SK-BR-3	10051-104-1	Lapatinib	LJP6	0.0217
50057	SK-BR-3	10052-101-1	Sirolimus	LJP6	0.4053
50057	SK-BR-3	10053-101-1	ZSTK474	LJP6	0.2288
50057	SK-BR-3	10055-101-1	BX-912	LJP5	0.2458
50057	SK-BR-3	10056-101-1	Selumetinib	LJP6	1.0382
50057	SK-BR-3	10057-102-1	MK2206	LJP6	0.4160
50057	SK-BR-3	10059-101-1	AZD-6482	LJP5	0.6784
50057	SK-BR-3	10061-101-1	NU7441	LJP5	0.7376
50057	SK-BR-3	10063-102-1	OSI-027	LJP6	0.2264
50057	SK-BR-3	10064-101-1	WYE-125132	LJP6	-0.0115
50057	SK-BR-3	10067-101-1	Barasertib	LJP5	-0.0647
50057	SK-BR-3	10068-101-1	Vemurafenib	LJP5	0.9788
50057	SK-BR-3	10069-101-1	Enzastaurin	LJP5	1.0606
50057	SK-BR-3	10071-101-1	Palbociclib	LJP6	0.6323
50057	SK-BR-3	10072-101-1	PF562271	LJP6	0.4370
50057	SK-BR-3	10073-101-1	PHA-793887	LJP6	-0.0263
50057	SK-BR-3	10075-101-1	QL-X-138	LJP6	0.1834
50057	SK-BR-3	10077-101-1	QL-XII-47	LJP6	0.0492
50057	SK-BR-3	10079-101-1	Torin1	LJP6	-0.0912
50057	SK-BR-3	10080-101-1	Torin2	LJP5	-0.1815
50057	SK-BR-3	10082-101-1	WZ-4-145	LJP6	0.1871
50057	SK-BR-3	10084-101-1	WZ3105	LJP5	-0.2698
50057	SK-BR-3	10086-101-1	XMD11-50	LJP6	0.4802
50057	SK-BR-3	10087-101-1	XMD11-85h	LJP6	0.6978
50057	SK-BR-3	10091-101-1	XMD16-144	LJP5	0.0024
50057	SK-BR-3	10097-101-1	Erlotinib	LJP5	0.7549
50057	SK-BR-3	10098-101-1	Gefitinib	LJP6	0.5041
50057	SK-BR-3	10099-101-1	Nilotinib	LJP5	0.9621
50057	SK-BR-3	10100-101-1	JNK-9L	LJP6	0.3090
50057	SK-BR-3	10101-101-1	PD0325901	LJP5	0.6629
50057	SK-BR-3	10101-101-1	PD0325901	LJP6	0.7161
50057	SK-BR-3	10108-101-1	Geldanamycin	LJP5	-0.1213
50057	SK-BR-3	10108-101-1	Geldanamycin	LJP6	-0.1342
50057	SK-BR-3	10109-101-1	YM 201636	LJP5	0.8332
50057	SK-BR-3	10111-101-1	TWS119	LJP5	0.7370
50057	SK-BR-3	10112-101-1	PF477736	LJP5	-0.1231
50057	SK-BR-3	10115-102-1	LDN-193189	LJP5	0.6011
50057	SK-BR-3	10116-101-1	PF431396	LJP5	0.3116
50057	SK-BR-3	10117-101-1	Celastrol	LJP6	0.1720
50057	SK-BR-3	10119-101-1	SU11274	LJP5	0.8764
50057	SK-BR-3	10120-102-1	Canertinib	LJP6	-0.0549
50057	SK-BR-3	10122-101-1	NVP-AEW541	LJP5	0.8757
50057	SK-BR-3	10125-101-1	PHA-665752	LJP5	0.8659
50057	SK-BR-3	10126-101-1	PI103	LJP6	0.2456
50057	SK-BR-3	10127-101-1	Dovitinib	LJP5	0.4597
50057	SK-BR-3	10128-101-1	GSK 690693	LJP5	0.5897
50057	SK-BR-3	10132-101-1	SNS-032	LJP6	-0.1855
50057	SK-BR-3	10133-101-1	Afatinib	LJP6	-0.1125
50057	SK-BR-3	10134-101-1	GSK1904529A	LJP6	0.9322
50057	SK-BR-3	10135-101-1	Linsitinib	LJP5	0.6972
50057	SK-BR-3	10138-105-1	Ruxolitinib	LJP5	0.8986
50057	SK-BR-3	10140-101-1	Momelotinib	LJP5	0.6157
50057	SK-BR-3	10141-101-1	TG 101348	LJP5	0.6736
50057	SK-BR-3	10142-101-1	Trametinib	LJP5	0.5904
50057	SK-BR-3	10146-101-1	Omipalisib	LJP6	-0.2334
50057	SK-BR-3	10147-101-1	Buparlisib	LJP5	0.1495
50057	SK-BR-3	10148-101-1	XL147	LJP5	1.0657
50057	SK-BR-3	10149-102-1	Y39983	LJP6	0.5874
50057	SK-BR-3	10151-101-1	Nintedanib	LJP6	0.7645
50057	SK-BR-3	10157-101-1	Foretinib	LJP5	0.2958
50057	SK-BR-3	10158-101-1	AZD 5438	LJP6	0.1568
50057	SK-BR-3	10159-101-1	Pelitinib	LJP5	0.0809
50057	SK-BR-3	10161-101-1	Luminespib	LJP5	0.0142
50057	SK-BR-3	10164-101-1	AZD8330	LJP5	0.6996
50057	SK-BR-3	10171-101-1	TGX221	LJP5	0.8648
50057	SK-BR-3	10172-101-1	GSK1059615	LJP5	0.3235
50057	SK-BR-3	10172-101-1	GSK1059615	LJP6	0.2276
50057	SK-BR-3	10177-101-1	Brivanib	LJP5	0.8248
50057	SK-BR-3	10180-101-1	CHIR-99021	LJP6	0.7016
50057	SK-BR-3	10182-101-1	Linifanib	LJP6	0.9539
50057	SK-BR-3	10190-101-1	PIK-93	LJP5	0.7852
50057	SK-BR-3	10232-101-1	BEZ235	LJP5	0.0076
50057	SK-BR-3	10233-101-1	Alpelisib	LJP5	0.5284
50057	SK-BR-3	10234-101-1	GDC-0980	LJP5	-0.0161
50057	SK-BR-3	10479-102-1	Mitoxantrone	LJP5	-0.2094
50057	SK-BR-3	10479-102-1	Mitoxantrone	LJP6	-0.2744
50057	SK-BR-3	10480-101-1	Radicicol	LJP5	0.0734
50057	SK-BR-3	10480-101-1	Radicicol	LJP6	0.0111
50057	SK-BR-3	10481-101-1	Withaferin A	LJP5	0.2556
50057	SK-BR-3	10481-101-1	Withaferin A	LJP6	0.2208
50058	MDA-MB-231	10001-101-1	Seliciclib	LJP5	0.8363
50058	MDA-MB-231	10004-101-1	AT-7519	LJP6	-0.0303
50058	MDA-MB-231	10006-101-1	AZD7762	LJP6	0.1081
50058	MDA-MB-231	10007-101-1	AZD8055	LJP6	0.2251
50058	MDA-MB-231	10008-101-1	Sorafenib	LJP6	0.9191
50058	MDA-MB-231	10009-101-1	CP466722	LJP5	0.8718
50058	MDA-MB-231	10010-101-1	CP724714	LJP5	0.8749
50058	MDA-MB-231	10011-101-1	Alvocidib	LJP6	-0.1951
50058	MDA-MB-231	10014-101-1	GW843682X	LJP6	0.3461
50058	MDA-MB-231	10015-101-1	HG-5-113-01	LJP5	0.4958
50058	MDA-MB-231	10016-101-1	HG-5-88-01	LJP6	0.7461
50058	MDA-MB-231	10017-101-1	HG-6-64-01	LJP6	0.4151
50058	MDA-MB-231	10018-101-1	Neratinib	LJP5	0.5899
50058	MDA-MB-231	10019-101-1	JW-7-24-1	LJP6	0.5803
50058	MDA-MB-231	10020-101-1	Dasatinib	LJP5	-0.0739
50058	MDA-MB-231	10020-101-1	Dasatinib	LJP6	-0.2201
50058	MDA-MB-231	10021-101-1	Tozasertib	LJP5	0.0823
50058	MDA-MB-231	10023-103-1	Imatinib	LJP6	0.9930
50058	MDA-MB-231	10024-101-1	NVP-TAE684	LJP6	0.4362
50058	MDA-MB-231	10025-101-1	CGP60474	LJP5	-0.0683
50058	MDA-MB-231	10025-101-1	CGP60474	LJP6	-0.2783
50058	MDA-MB-231	10026-101-1	PD173074	LJP6	0.8983
50058	MDA-MB-231	10027-101-1	Crizotinib	LJP5	0.5276
50058	MDA-MB-231	10028-102-1	BMS345541	LJP6	0.5797
50058	MDA-MB-231	10031-101-1	KIN001-043	LJP6	0.7470
50058	MDA-MB-231	10032-101-1	Saracatinib	LJP6	0.5834
50058	MDA-MB-231	10035-101-1	Sigma A6730	LJP5	0.8272
50058	MDA-MB-231	10039-101-1	WH-4-025	LJP5	0.2201
50058	MDA-MB-231	10040-101-1	R406	LJP6	0.7553
50058	MDA-MB-231	10041-101-1	BI-2536	LJP6	0.0046
50058	MDA-MB-231	10045-101-1	A443654	LJP6	0.0201
50058	MDA-MB-231	10046-101-1	SB590885	LJP5	0.6924
50058	MDA-MB-231	10047-101-1	GDC-0941	LJP6	0.6646
50058	MDA-MB-231	10048-101-1	PD184352	LJP5	0.6565
50058	MDA-MB-231	10049-101-1	PLX-4720	LJP5	0.8965
50058	MDA-MB-231	10051-104-1	Lapatinib	LJP6	0.8811
50058	MDA-MB-231	10052-101-1	Sirolimus	LJP6	0.7943
50058	MDA-MB-231	10053-101-1	ZSTK474	LJP6	0.6635
50058	MDA-MB-231	10055-101-1	BX-912	LJP5	0.5123
50058	MDA-MB-231	10056-101-1	Selumetinib	LJP6	0.5184
50058	MDA-MB-231	10057-102-1	MK2206	LJP6	0.7743
50058	MDA-MB-231	10059-101-1	AZD-6482	LJP5	0.7555
50058	MDA-MB-231	10061-101-1	NU7441	LJP5	0.7401
50058	MDA-MB-231	10063-102-1	OSI-027	LJP6	0.7207
50058	MDA-MB-231	10064-101-1	WYE-125132	LJP6	0.2970
50058	MDA-MB-231	10067-101-1	Barasertib	LJP5	0.1470
50058	MDA-MB-231	10068-101-1	Vemurafenib	LJP5	0.8416
50058	MDA-MB-231	10069-101-1	Enzastaurin	LJP5	1.0093
50058	MDA-MB-231	10071-101-1	Palbociclib	LJP6	0.4609
50058	MDA-MB-231	10072-101-1	PF562271	LJP6	0.5016
50058	MDA-MB-231	10073-101-1	PHA-793887	LJP6	0.0180
50058	MDA-MB-231	10075-101-1	QL-X-138	LJP6	0.5738
50058	MDA-MB-231	10077-101-1	QL-XII-47	LJP6	0.2502
50058	MDA-MB-231	10079-101-1	Torin1	LJP6	0.2180
50058	MDA-MB-231	10080-101-1	Torin2	LJP5	0.0211
50058	MDA-MB-231	10082-101-1	WZ-4-145	LJP6	0.6232
50058	MDA-MB-231	10084-101-1	WZ3105	LJP5	-0.2165
50058	MDA-MB-231	10086-101-1	XMD11-50	LJP6	0.4814
50058	MDA-MB-231	10087-101-1	XMD11-85h	LJP6	0.7364
50058	MDA-MB-231	10091-101-1	XMD16-144	LJP5	0.1057
50058	MDA-MB-231	10097-101-1	Erlotinib	LJP5	0.8936
50058	MDA-MB-231	10098-101-1	Gefitinib	LJP6	1.0063
50058	MDA-MB-231	10099-101-1	Nilotinib	LJP5	0.7254
50058	MDA-MB-231	10100-101-1	JNK-9L	LJP6	0.2918
50058	MDA-MB-231	10101-101-1	PD0325901	LJP5	0.2294
50058	MDA-MB-231	10101-101-1	PD0325901	LJP6	0.1765
50058	MDA-MB-231	10108-101-1	Geldanamycin	LJP5	0.0238
50058	MDA-MB-231	10108-101-1	Geldanamycin	LJP6	-0.0088
50058	MDA-MB-231	10109-101-1	YM 201636	LJP5	0.7264
50058	MDA-MB-231	10111-101-1	TWS119	LJP5	0.7175
50058	MDA-MB-231	10112-101-1	PF477736	LJP5	0.5635
50058	MDA-MB-231	10115-102-1	LDN-193189	LJP5	0.5404
50058	MDA-MB-231	10116-101-1	PF431396	LJP5	0.3896
50058	MDA-MB-231	10117-101-1	Celastrol	LJP6	0.4041
50058	MDA-MB-231	10119-101-1	SU11274	LJP5	0.8305
50058	MDA-MB-231	10120-102-1	Canertinib	LJP6	0.6699
50058	MDA-MB-231	10122-101-1	NVP-AEW541	LJP5	0.8557
50058	MDA-MB-231	10125-101-1	PHA-665752	LJP5	0.7780
50058	MDA-MB-231	10126-101-1	PI103	LJP6	0.4310
50058	MDA-MB-231	10127-101-1	Dovitinib	LJP5	0.5461
50058	MDA-MB-231	10128-101-1	GSK 690693	LJP5	0.9144
50058	MDA-MB-231	10132-101-1	SNS-032	LJP6	-0.1269
50058	MDA-MB-231	10133-101-1	Afatinib	LJP6	0.5743
50058	MDA-MB-231	10134-101-1	GSK1904529A	LJP6	0.8966
50058	MDA-MB-231	10135-101-1	Linsitinib	LJP5	0.8154
50058	MDA-MB-231	10138-105-1	Ruxolitinib	LJP5	0.8944
50058	MDA-MB-231	10140-101-1	Momelotinib	LJP5	0.5149
50058	MDA-MB-231	10141-101-1	TG 101348	LJP5	0.5434
50058	MDA-MB-231	10142-101-1	Trametinib	LJP5	0.1143
50058	MDA-MB-231	10146-101-1	Omipalisib	LJP6	0.0850
50058	MDA-MB-231	10147-101-1	Buparlisib	LJP5	0.5340
50058	MDA-MB-231	10148-101-1	XL147	LJP5	1.0168
50058	MDA-MB-231	10149-102-1	Y39983	LJP6	0.5807
50058	MDA-MB-231	10151-101-1	Nintedanib	LJP6	0.8492
50058	MDA-MB-231	10157-101-1	Foretinib	LJP5	0.2781
50058	MDA-MB-231	10158-101-1	AZD 5438	LJP6	0.2056
50058	MDA-MB-231	10159-101-1	Pelitinib	LJP5	0.6466
50058	MDA-MB-231	10161-101-1	Luminespib	LJP5	-0.0810
50058	MDA-MB-231	10164-101-1	AZD8330	LJP5	0.0744
50058	MDA-MB-231	10171-101-1	TGX221	LJP5	0.8081
50058	MDA-MB-231	10172-101-1	GSK1059615	LJP5	0.5702
50058	MDA-MB-231	10172-101-1	GSK1059615	LJP6	0.6042
50058	MDA-MB-231	10177-101-1	Brivanib	LJP5	0.8649
50058	MDA-MB-231	10180-101-1	CHIR-99021	LJP6	0.8281
50058	MDA-MB-231	10182-101-1	Linifanib	LJP6	0.9277
50058	MDA-MB-231	10190-101-1	PIK-93	LJP5	0.8318
50058	MDA-MB-231	10232-101-1	BEZ235	LJP5	0.2665
50058	MDA-MB-231	10233-101-1	Alpelisib	LJP5	0.9034
50058	MDA-MB-231	10234-101-1	GDC-0980	LJP5	0.4053
50058	MDA-MB-231	10479-102-1	Mitoxantrone	LJP5	-0.2012
50058	MDA-MB-231	10479-102-1	Mitoxantrone	LJP6	-0.2270
50058	MDA-MB-231	10480-101-1	Radicicol	LJP5	0.3501
50058	MDA-MB-231	10480-101-1	Radicicol	LJP6	0.3683
50058	MDA-MB-231	10481-101-1	Withaferin A	LJP5	0.3805
50058	MDA-MB-231	10481-101-1	Withaferin A	LJP6	0.3336
50105	BT-20	10001-101-1	Seliciclib	LJP5	0.7885
50105	BT-20	10004-101-1	AT-7519	LJP6	0.1339
50105	BT-20	10006-101-1	AZD7762	LJP6	0.3906
50105	BT-20	10007-101-1	AZD8055	LJP6	0.0506
50105	BT-20	10008-101-1	Sorafenib	LJP6	0.8060
50105	BT-20	10009-101-1	CP466722	LJP5	0.9461
50105	BT-20	10010-101-1	CP724714	LJP5	0.8068
50105	BT-20	10011-101-1	Alvocidib	LJP6	-0.1781
50105	BT-20	10014-101-1	GW843682X	LJP6	0.2725
50105	BT-20	10015-101-1	HG-5-113-01	LJP5	0.5599
50105	BT-20	10016-101-1	HG-5-88-01	LJP6	0.7903
50105	BT-20	10017-101-1	HG-6-64-01	LJP6	0.6018
50105	BT-20	10018-101-1	Neratinib	LJP5	0.5416
50105	BT-20	10019-101-1	JW-7-24-1	LJP6	0.6381
50105	BT-20	10020-101-1	Dasatinib	LJP5	0.2323
50105	BT-20	10020-101-1	Dasatinib	LJP6	0.0499
50105	BT-20	10021-101-1	Tozasertib	LJP5	0.0570
50105	BT-20	10023-103-1	Imatinib	LJP6	1.0004
50105	BT-20	10024-101-1	NVP-TAE684	LJP6	0.6989
50105	BT-20	10025-101-1	CGP60474	LJP5	-0.0751
50105	BT-20	10025-101-1	CGP60474	LJP6	-0.3572
50105	BT-20	10026-101-1	PD173074	LJP6	1.0713
50105	BT-20	10027-101-1	Crizotinib	LJP5	0.6040
50105	BT-20	10028-102-1	BMS345541	LJP6	0.7574
50105	BT-20	10031-101-1	KIN001-043	LJP6	0.8749
50105	BT-20	10032-101-1	Saracatinib	LJP6	0.7467
50105	BT-20	10035-101-1	Sigma A6730	LJP5	0.7692
50105	BT-20	10039-101-1	WH-4-025	LJP5	0.4102
50105	BT-20	10040-101-1	R406	LJP6	0.8771
50105	BT-20	10041-101-1	BI-2536	LJP6	-0.1704
50105	BT-20	10045-101-1	A443654	LJP6	-0.0024
50105	BT-20	10046-101-1	SB590885	LJP5	0.9835
50105	BT-20	10047-101-1	GDC-0941	LJP6	0.3629
50105	BT-20	10048-101-1	PD184352	LJP5	0.8848
50105	BT-20	10049-101-1	PLX-4720	LJP5	0.8229
50105	BT-20	10051-104-1	Lapatinib	LJP6	0.9127
50105	BT-20	10052-101-1	Sirolimus	LJP6	0.5372
50105	BT-20	10053-101-1	ZSTK474	LJP6	0.4436
50105	BT-20	10055-101-1	BX-912	LJP5	0.8183
50105	BT-20	10056-101-1	Selumetinib	LJP6	1.0149
50105	BT-20	10057-102-1	MK2206	LJP6	0.6118
50105	BT-20	10059-101-1	AZD-6482	LJP5	0.5502
50105	BT-20	10061-101-1	NU7441	LJP5	0.8581
50105	BT-20	10063-102-1	OSI-027	LJP6	0.5613
50105	BT-20	10064-101-1	WYE-125132	LJP6	0.2095
50105	BT-20	10067-101-1	Barasertib	LJP5	0.3486
50105	BT-20	10068-101-1	Vemurafenib	LJP5	0.8843
50105	BT-20	10069-101-1	Enzastaurin	LJP5	1.0834
50105	BT-20	10071-101-1	Palbociclib	LJP6	0.3932
50105	BT-20	10072-101-1	PF562271	LJP6	0.5310
50105	BT-20	10073-101-1	PHA-793887	LJP6	0.1846
50105	BT-20	10075-101-1	QL-X-138	LJP6	0.4631
50105	BT-20	10077-101-1	QL-XII-47	LJP6	0.2187
50105	BT-20	10079-101-1	Torin1	LJP6	-0.0129
50105	BT-20	10080-101-1	Torin2	LJP5	-0.1625
50105	BT-20	10082-101-1	WZ-4-145	LJP6	0.6930
50105	BT-20	10084-101-1	WZ3105	LJP5	-0.0940
50105	BT-20	10086-101-1	XMD11-50	LJP6	0.6749
50105	BT-20	10087-101-1	XMD11-85h	LJP6	0.8703
50105	BT-20	10091-101-1	XMD16-144	LJP5	0.2269
50105	BT-20	10097-101-1	Erlotinib	LJP5	0.8132
50105	BT-20	10098-101-1	Gefitinib	LJP6	0.9162
50105	BT-20	10099-101-1	Nilotinib	LJP5	0.8416
50105	BT-20	10100-101-1	JNK-9L	LJP6	0.3691
50105	BT-20	10101-101-1	PD0325901	LJP5	0.7278
50105	BT-20	10101-101-1	PD0325901	LJP6	0.7126
50105	BT-20	10108-101-1	Geldanamycin	LJP5	-0.0211
