cell_line	small_molecule	concentration	cell_count__time0	cell_count	cell_count__ctrl	replicate	GRvalue
BT-20	AZD8055	0.04	1657	2584	5383	1	0.298741331593523
BT-20	AZD8055	0.12	1097	1170	3673	3	0.0376447732217811
BT-20	AZD8055	0.12	1334	1948	3925	2	0.275303113278668
BT-20	AZD8055	0.12	1657	2341	5383	1	0.22543472764722
BT-20	AZD8055	0.37	1097	1116	3673	3	0.00989822967248166
BT-20	AZD8055	0.37	1334	1601	3925	2	0.124325372560767
BT-20	AZD8055	0.37	1657	1984	5383	1	0.111771884798145
BT-20	AZD8055	1.11	1097	1050	3673	3	-0.0248042795974297
BT-20	AZD8055	1.11	1334	1506	3925	2	0.0810076254490912
BT-20	AZD8055	1.11	1657	1987	5383	1	0.112760558387137
BT-20	AZD8055	3.33	1097	906	3673	3	-0.103920040396313
BT-20	AZD8055	3.33	1334	1391	3925	2	0.0272383107613685
BT-20	AZD8055	3.33	1657	1826	5383	1	0.0587980327630344
BT-20	AZD8055	10	1097	119	3673	3	-0.720309557914845
BT-20	AZD8055	10	1334	1052	3925	2	-0.141472206860728
BT-20	AZD8055	10	1657	1508	5383	1	-0.053923152258697
BT-20	AZD8330	0.04	1097	2875	3846	3	0.702956780866116
BT-20	AZD8330	0.04	1334	3067	4033	2	0.684715687767106
BT-20	AZD8330	0.04	1657	4063	5588	1	0.667663054310154
BT-20	AZD8330	0.12	1097	2907	3846	3	0.713404206400096
BT-20	AZD8330	0.12	1334	3347	4033	2	0.779501473470056
BT-20	AZD8330	0.12	1657	4338	5588	1	0.731117162892666
BT-20	AZD8330	0.37	1097	2988	3846	3	0.739621664893071
BT-20	AZD8330	0.37	1334	3272	4033	2	0.754412810428049
BT-20	AZD8330	0.37	1657	4424	5588	1	0.750603434992903
BT-20	AZD8330	1.11	1097	2914	3846	3	0.715682709576965
BT-20	AZD8330	1.11	1334	3298	4033	2	0.763134298918075
BT-20	AZD8330	1.11	1657	4371	5588	1	0.738613914117486
BT-20	AZD8330	3.33	1097	3168	3846	3	0.796768292857867
BT-20	AZD8330	3.33	1334	3341	4033	2	0.777502160886116
BT-20	AZD8330	3.33	1657	4563	5588	1	0.781757790543885
BT-20	AZD8330	10	1097	3259	3846	3	0.825105505420539
BT-20	AZD8330	10	1334	3412	4033	2	0.801075609106514
BT-20	AZD8330	10	1657	4562	5588	1	0.781535127119439
BT-20	Afatinib	0.04	1097	2874	3673	3	0.737491572498848
BT-20	Afatinib	0.04	1334	3050	3925	2	0.700880819947232
BT-20	Afatinib	0.04	1657	3980	5383	1	0.674482621599249
BT-20	Afatinib	0.12	1097	3032	3673	3	0.791655107670337
BT-20	Afatinib	0.12	1334	3247	3925	2	0.77065049235663
BT-20	Afatinib	0.12	1657	4514	5383	1	0.803215141877669
BT-20	Afatinib	0.37	1097	3081	3673	3	0.808206626696503
BT-20	Afatinib	0.37	1334	3305	3925	2	0.790900713145424
BT-20	Afatinib	0.37	1657	4690	5383	1	0.844250158396158
BT-20	Afatinib	1.11	1097	3152	3673	3	0.831991616721549
BT-20	Afatinib	1.11	1334	3442	3925	2	0.838235231653639
BT-20	Afatinib	1.11	1657	5087	5383	1	0.934550163549291
BT-20	Afatinib	3.33	1097	3253	3673	3	0.865436543676923
BT-20	Afatinib	3.33	1334	3377	3925	2	0.815862943420369
BT-20	Afatinib	3.33	1657	4854	5383	1	0.881920265369779
BT-20	Afatinib	10	1097	816	3673	3	-0.156113950626935
BT-20	Afatinib	10	1334	2081	3925	2	0.330565468665059
BT-20	Afatinib	10	1657	1569	5383	1	-0.0315933986504446
BT-20	Alpelisib	0.04	1097	4057	3846	3	1.05990297504097
BT-20	Alpelisib	0.04	1334	4126	4033	2	1.0287720943313
BT-20	Alpelisib	0.04	1657	5760	5588	1	1.03487319089028
BT-20	Alpelisib	0.12	1097	3808	3846	3	0.98905694925386
BT-20	Alpelisib	0.12	1334	4100	4033	2	1.02075289629521
BT-20	Alpelisib	0.12	1657	5235	5588	1	0.926950594820757
BT-20	Alpelisib	0.37	1097	2957	3846	3	0.729625845196932
BT-20	Alpelisib	0.37	1334	3247	4033	2	0.746002322196604
BT-20	Alpelisib	0.37	1657	4172	5588	1	0.693028288138856
BT-20	Alpelisib	1.11	1097	2083	3846	3	0.425198055628433
BT-20	Alpelisib	1.11	1334	2990	4033	2	0.658090061096241
BT-20	Alpelisib	1.11	1657	3680	5588	1	0.576122994580724
BT-20	Alpelisib	3.33	1097	1241	3846	3	0.0705263364243987
BT-20	Alpelisib	3.33	1334	1664	4033	2	0.148537645261684
BT-20	Alpelisib	3.33	1657	2120	5588	1	0.150851896376643
BT-20	Alpelisib	10	1097	758	3846	3	-0.184741647981085
BT-20	Alpelisib	10	1334	917	4033	2	-0.209304068548021
BT-20	Alpelisib	10	1657	1445	5588	1	-0.0750916153737251
BT-20	Alvocidib	0.04	1097	1075	3673	3	-0.0115528990748461
BT-20	Alvocidib	0.04	1334	2841	3925	2	0.625073621150576
BT-20	Alvocidib	0.04	1657	2798	5383	1	0.360978303744862
BT-20	Alvocidib	0.12	1097	613	3673	3	-0.283812913473109
BT-20	Alvocidib	0.12	1334	1583	3925	2	0.116189954337595
BT-20	Alvocidib	0.12	1657	1396	5383	1	-0.0959149806328649
BT-20	Alvocidib	0.37	1097	611	3673	3	-0.285154141379408
BT-20	Alvocidib	0.37	1334	746	3925	2	-0.311544947856511
BT-20	Alvocidib	0.37	1657	1244	5383	1	-0.155195100961109
BT-20	Alvocidib	1.11	1097	612	3673	3	-0.284483293803392
BT-20	Alvocidib	1.11	1334	370	3925	2	-0.561191463628631
BT-20	Alvocidib	1.11	1657	1130	5383	1	-0.201637763561075
BT-20	Alvocidib	3.33	1097	635	3673	3	-0.269180604182669
BT-20	Alvocidib	3.33	1334	364	3925	2	-0.565775219630443
BT-20	Alvocidib	3.33	1657	1188	5383	1	-0.177779556578681
BT-20	Alvocidib	10	1097	586	3673	3	-0.302080455595078
BT-20	Alvocidib	10	1334	317	3925	2	-0.602670994043048
BT-20	Alvocidib	10	1657	1169	5383	1	-0.185541250245969
BT-20	BI-2536	0.04	1097	876	3673	3	-0.12106151070544
BT-20	BI-2536	0.04	1334	687	3925	2	-0.347030066369372
BT-20	BI-2536	0.04	1657	1491	5383	1	-0.0602121118484739
BT-20	BI-2536	0.12	1097	846	3673	3	-0.138455194222092
BT-20	BI-2536	0.12	1334	574	3925	2	-0.418210447586896
BT-20	BI-2536	0.12	1657	1511	5383	1	-0.0528163720851369
BT-20	BI-2536	0.37	1097	800	3673	3	-0.165645128330249
BT-20	BI-2536	0.37	1334	624	3925	2	-0.386148338239217
BT-20	BI-2536	0.37	1657	1544	5383	1	-0.0407009260490789
BT-20	BI-2536	1.11	1097	916	3673	3	-0.0982601917646073
BT-20	BI-2536	1.11	1334	688	3925	2	-0.34641975249633
BT-20	BI-2536	1.11	1657	1543	5383	1	-0.0410664849917262
BT-20	BI-2536	3.33	1097	875	3673	3	-0.121637168292211
BT-20	BI-2536	3.33	1334	769	3925	2	-0.297986001799905
BT-20	BI-2536	3.33	1657	1630	5383	1	-0.00961832789679218
BT-20	BI-2536	10	1097	951	3673	3	-0.0786551023588022
BT-20	BI-2536	10	1334	716	3925	2	-0.329457528652731
BT-20	BI-2536	10	1657	1646	5383	1	-0.00391073049973201
BT-20	BMS345541	0.04	1097	3601	3673	3	0.977417397109524
BT-20	BMS345541	0.04	1334	4026	3925	2	1.03290494204436
BT-20	BMS345541	0.04	1657	5435	5383	1	1.01134334542349
BT-20	BMS345541	0.12	1097	3421	3673	3	0.920102440535606
BT-20	BMS345541	0.12	1334	3799	3925	2	0.958522380960119
BT-20	BMS345541	0.12	1657	5506	5383	1	1.0267594787498
BT-20	BMS345541	0.37	1097	3237	3673	3	0.860168167684935
BT-20	BMS345541	0.37	1334	3830	3925	2	0.968772260676233
BT-20	BMS345541	0.37	1657	5520	5383	1	1.02978959786908
BT-20	BMS345541	1.11	1097	2809	3673	3	0.71484172734086
BT-20	BMS345541	1.11	1334	3750	3925	2	0.942259715463917
BT-20	BMS345541	1.11	1657	4882	5383	1	0.888299045454961
BT-20	BMS345541	3.33	1097	2738	3673	3	0.689844187827732
BT-20	BMS345541	3.33	1334	3479	3925	2	0.850902705022383
BT-20	BMS345541	3.33	1657	4482	5383	1	0.795683942149402
BT-20	BMS345541	10	1097	711	3673	3	-0.220221722329335
BT-20	BMS345541	10	1334	1747	3925	2	0.189147525850685
BT-20	BMS345541	10	1657	1686	5383	1	0.0102592017638461
BT-20	BX-912	0.04	1097	3479	3846	3	0.892185976172602
BT-20	BX-912	0.04	1334	3739	4033	2	0.907366948618419
BT-20	BX-912	0.04	1657	5063	5588	1	0.890591183248413
BT-20	BX-912	0.12	1097	3707	3846	3	0.959731479362761
BT-20	BX-912	0.12	1334	3931	4033	2	0.968157032731255
BT-20	BX-912	0.12	1657	5125	5588	1	0.903757790283795
BT-20	BX-912	0.37	1097	3616	3846	3	0.933001839949616
BT-20	BX-912	0.37	1334	3753	4033	2	0.911838362940675
BT-20	BX-912	0.37	1657	5456	5588	1	0.972922917962053
BT-20	BX-912	1.11	1097	3619	3846	3	0.933887801905983
BT-20	BX-912	1.11	1334	3950	4033	2	0.974111739062929
BT-20	BX-912	1.11	1657	5160	5588	1	0.911160322929284
BT-20	BX-912	3.33	1097	3683	3846	3	0.952710683371508
BT-20	BX-912	3.33	1334	3578	4033	2	0.855487640682277
BT-20	BX-912	3.33	1657	4240	5588	1	0.708708320260942
BT-20	BX-912	10	1097	2291	3846	3	0.502156821235194
BT-20	BX-912	10	1334	1886	4033	2	0.242284697431945
BT-20	BX-912	10	1657	2697	5588	1	0.320174864545124
BT-20	Barasertib	0.04	1097	2918	3846	3	0.71698361184702
BT-20	Barasertib	0.04	1334	3344	4033	2	0.778501984646298
BT-20	Barasertib	0.04	1657	5249	5588	1	0.929887316683563
BT-20	Barasertib	0.12	1097	2171	3846	3	0.45815881322615
BT-20	Barasertib	0.12	1334	2591	4033	2	0.515778116869894
BT-20	Barasertib	0.12	1657	4476	5588	1	0.762306886678308
BT-20	Barasertib	0.37	1097	2041	3846	3	0.409247356562809
BT-20	Barasertib	0.37	1334	1947	4033	2	0.26730877047486
BT-20	Barasertib	0.37	1657	3393	5588	1	0.504812728199488
BT-20	Barasertib	1.11	1097	1795	3846	3	0.31270416361508
BT-20	Barasertib	1.11	1334	1544	4033	2	0.095921025999254
BT-20	Barasertib	1.11	1657	2554	5588	1	0.27979498339467
BT-20	Barasertib	3.33	1097	1512	3846	3	0.193974326836583
BT-20	Barasertib	3.33	1334	1239	4033	2	-0.0452314420914567
BT-20	Barasertib	3.33	1657	2292	5588	1	0.203198374545206
BT-20	Barasertib	10	1097	1145	3846	3	0.0239453435492016
BT-20	Barasertib	10	1334	999	4033	2	-0.165715873114157
BT-20	Barasertib	10	1657	1851	5588	1	0.0651668360420232
BT-20	Brivanib	0.04	1097	3576	3846	3	0.921157424299204
BT-20	Brivanib	0.04	1334	4008	4033	2	0.992223449944511
BT-20	Brivanib	0.04	1657	5266	5588	1	0.933448814043444
BT-20	Brivanib	0.12	1097	3567	3846	3	0.918484274617222
BT-20	Brivanib	0.12	1334	3864	4033	2	0.947072511534218
BT-20	Brivanib	0.12	1657	5301	5588	1	0.940765784699319
BT-20	Brivanib	0.37	1097	3699	3846	3	0.957393480035614
BT-20	Brivanib	0.37	1334	3929	4033	2	0.967529596923044
BT-20	Brivanib	0.37	1657	5313	5588	1	0.943269677349718
BT-20	Brivanib	1.11	1097	3575	3846	3	0.92086055644314
BT-20	Brivanib	1.11	1334	3891	4033	2	0.955585555255929
BT-20	Brivanib	1.11	1657	5152	5588	1	0.909470222872725
BT-20	Brivanib	3.33	1097	3666	3846	3	0.947725227029281
BT-20	Brivanib	3.33	1334	3894	4033	2	0.956530085064778
BT-20	Brivanib	3.33	1657	4970	5588	1	0.870710608165463
BT-20	Brivanib	10	1097	3290	3846	3	0.834677774197345
BT-20	Brivanib	10	1334	3351	4033	2	0.780833604935282
BT-20	Brivanib	10	1657	4549	5588	1	0.77863859115172
BT-20	Buparlisib	0.04	1097	3777	3846	3	0.980093484667266
BT-20	Buparlisib	0.04	1334	4150	4033	2	1.03615769601743
BT-20	Buparlisib	0.04	1657	5689	5588	1	1.02053286150322
BT-20	Buparlisib	0.12	1097	3018	3846	3	0.749250951386529
BT-20	Buparlisib	0.12	1334	3831	4033	2	0.936637449005822
BT-20	Buparlisib	0.12	1657	5192	5588	1	0.917909489775144
BT-20	Buparlisib	0.37	1097	1950	3846	3	0.374175264657491
BT-20	Buparlisib	0.37	1334	2698	4033	2	0.554699973084976
BT-20	Buparlisib	0.37	1657	3669	5588	1	0.573434900380164
BT-20	Buparlisib	1.11	1097	1147	3846	3	0.0249332190986848
BT-20	Buparlisib	1.11	1334	1273	4033	2	-0.0288992856621151
BT-20	Buparlisib	1.11	1657	1787	5588	1	0.044008069589323
BT-20	Buparlisib	3.33	1097	732	3846	3	-0.200313702147366
BT-20	Buparlisib	3.33	1334	612	4033	2	-0.386266613857823
BT-20	Buparlisib	3.33	1657	1133	5588	1	-0.194874566387634
BT-20	Buparlisib	10	1097	621	3846	3	-0.269774636448629
BT-20	Buparlisib	10	1334	463	4033	2	-0.484696689471459
BT-20	Buparlisib	10	1657	924	5588	1	-0.283250401237012
BT-20	CGP60474	0.04	1097	724	3673	3	-0.212075292512482
BT-20	CGP60474	0.04	1097	3053	3846	3	0.76043114936083
BT-20	CGP60474	0.04	1334	782	3925	2	-0.290386459227824
BT-20	CGP60474	0.04	1334	3530	4033	2	0.83985279437047
BT-20	CGP60474	0.04	1657	1217	5383	1	-0.166030592715987
BT-20	CGP60474	0.04	1657	5524	5588	1	0.986906454573093
BT-20	CGP60474	0.12	1097	663	3673	3	-0.250866718987451
BT-20	CGP60474	0.12	1097	932	3846	3	-0.0861294491989257
BT-20	CGP60474	0.12	1334	531	3925	2	-0.446592008049482
BT-20	CGP60474	0.12	1334	843	4033	2	-0.249907154870449
BT-20	CGP60474	0.12	1657	1028	5383	1	-0.244855913886272
BT-20	CGP60474	0.12	1657	1844	5588	1	0.0628680797625376
BT-20	CGP60474	0.37	1097	643	3673	3	-0.263913531688988
BT-20	CGP60474	0.37	1097	716	3846	3	-0.210019702605447
BT-20	CGP60474	0.37	1334	410	4033	2	-0.522488335417697
BT-20	CGP60474	0.37	1334	508	3925	2	-0.462109704220991
BT-20	CGP60474	0.37	1657	1032	5383	1	-0.243128715987924
BT-20	CGP60474	0.37	1657	1541	5588	1	-0.0405391787687154
BT-20	CGP60474	1.11	1097	538	3673	3	-0.335467466117174
BT-20	CGP60474	1.11	1097	627	3846	3	-0.265884617689929
BT-20	CGP60474	1.11	1334	397	3925	2	-0.540884584331813
BT-20	CGP60474	1.11	1334	439	4033	2	-0.5015979866408
BT-20	CGP60474	1.11	1657	1035	5383	1	-0.241835125711206
BT-20	CGP60474	1.11	1657	1516	5588	1	-0.0494459048097311
BT-20	CGP60474	3.33	1097	516	3673	3	-0.351193004536343
BT-20	CGP60474	3.33	1097	593	3846	3	-0.288154823057064
BT-20	CGP60474	3.33	1334	295	3925	2	-0.620609053793088
BT-20	CGP60474	3.33	1334	367	4033	2	-0.554511208452906
BT-20	CGP60474	3.33	1657	931	5383	1	-0.287626544921599
BT-20	CGP60474	3.33	1657	1342	5588	1	-0.113280156717557
BT-20	CGP60474	10	1097	427	3673	3	-0.417958930024569
BT-20	CGP60474	10	1097	509	3846	3	-0.345768918248166
BT-20	CGP60474	10	1334	278	3925	2	-0.634800172415068
BT-20	CGP60474	10	1334	330	4033	2	-0.583206318062859
BT-20	CGP60474	10	1657	673	5383	1	-0.41143144715224
BT-20	CGP60474	10	1657	1176	5588	1	-0.177590780221545
BT-20	CHIR-99021	0.04	1097	3192	3673	3	0.845291009124127
BT-20	CHIR-99021	0.04	1334	3515	3925	2	0.863181639695529
BT-20	CHIR-99021	0.04	1657	5553	5383	1	1.03691952938267
BT-20	CHIR-99021	0.12	1097	3254	3673	3	0.865765449882843
BT-20	CHIR-99021	0.12	1334	3649	3925	2	0.908496791325734
BT-20	CHIR-99021	0.12	1657	5492	5383	1	1.02372618590773
BT-20	CHIR-99021	0.37	1097	3245	3673	3	0.862803740256019
BT-20	CHIR-99021	0.37	1334	3888	3925	2	0.987870116971727
BT-20	CHIR-99021	0.37	1657	5511	5383	1	1.02784202788868
BT-20	CHIR-99021	1.11	1097	3370	3673	3	0.903630922121512
BT-20	CHIR-99021	1.11	1334	4191	3925	2	1.08603251195141
BT-20	CHIR-99021	1.11	1657	5500	5383	1	1.02545988538702
BT-20	CHIR-99021	3.33	1097	3450	3673	3	0.929421905113177
BT-20	CHIR-99021	3.33	1334	4087	3925	2	1.05263518567754
BT-20	CHIR-99021	3.33	1657	5559	5383	1	1.03821400435041
BT-20	CHIR-99021	10	1097	2811	3673	3	0.715541957000306
BT-20	CHIR-99021	10	1334	4018	3925	2	1.03030946286491
BT-20	CHIR-99021	10	1657	4839	5383	1	0.878496830589686
BT-20	CP466722	0.04	1097	4112	3846	3	1.07528680095536
BT-20	CP466722	0.04	1334	4240	4033	2	1.06371280552407
BT-20	CP466722	0.04	1657	5939	5588	1	1.07069359788667
BT-20	CP466722	0.12	1097	4048	3846	3	1.05737675865425
BT-20	CP466722	0.12	1334	4171	4033	2	1.04260702187519
BT-20	CP466722	0.12	1657	5575	5588	1	0.997345611479612
BT-20	CP466722	0.37	1097	3786	3846	3	0.982699160943533
BT-20	CP466722	0.37	1334	4028	4033	2	0.998446133511713
BT-20	CP466722	0.37	1657	5847	5588	1	1.05234196740602
BT-20	CP466722	1.11	1097	3862	3846	3	1.00459311866633
BT-20	CP466722	1.11	1334	4106	4033	2	1.02260516214825
BT-20	CP466722	1.11	1657	5755	5588	1	1.0338658043521
BT-20	CP466722	3.33	1097	3520	3846	3	0.904475179005618
BT-20	CP466722	3.33	1334	4026	4033	2	0.997824385236995
BT-20	CP466722	3.33	1657	5382	5588	1	0.957620152622611
BT-20	CP466722	10	1097	2013	3846	3	0.398531852693894
BT-20	CP466722	10	1334	3492	4033	2	0.827418825999486
BT-20	CP466722	10	1657	3529	5588	1	0.538914821528309
BT-20	CP724714	0.04	1097	3635	3846	3	0.938607392938996
BT-20	CP724714	0.04	1334	3801	4033	2	0.927121860563624
BT-20	CP724714	0.04	1657	5207	5588	1	0.921067005837949
BT-20	CP724714	0.12	1097	3658	3846	3	0.945375551052739
BT-20	CP724714	0.12	1334	3769	4033	2	0.916940929961837
BT-20	CP724714	0.12	1657	5078	5588	1	0.893782978247896
BT-20	CP724714	0.37	1097	3643	3846	3	0.940963702423373
BT-20	CP724714	0.37	1334	3663	4033	2	0.882983536085776
BT-20	CP724714	0.37	1657	4890	5588	1	0.853480749188164
BT-20	CP724714	1.11	1097	3148	3846	3	0.790491723983712
BT-20	CP724714	1.11	1334	3536	4033	2	0.841811473054569
BT-20	CP724714	1.11	1657	4568	5588	1	0.78287079321708
BT-20	CP724714	3.33	1097	2909	3846	3	0.714055457577261
BT-20	CP724714	3.33	1334	3473	4033	2	0.821182900360758
BT-20	CP724714	3.33	1657	4497	5588	1	0.767016701935102
BT-20	CP724714	10	1097	2233	3846	3	0.481023295220203
BT-20	CP724714	10	1334	2676	4033	2	0.546745124383216
BT-20	CP724714	10	1657	3680	5588	1	0.576122994580724
BT-20	Canertinib	0.04	1097	3493	3673	3	0.943179163327859
BT-20	Canertinib	0.04	1334	3494	3925	2	0.856024425077605
BT-20	Canertinib	0.04	1657	4885	5383	1	0.888981591721432
BT-20	Canertinib	0.12	1097	3273	3673	3	0.872006500769613
BT-20	Canertinib	0.12	1334	3574	3925	2	0.883208632608133
BT-20	Canertinib	0.12	1657	4875	5383	1	0.88670576561757
BT-20	Canertinib	0.37	1097	3100	3673	3	0.814594324471904
BT-20	Canertinib	0.37	1334	3516	3925	2	0.863522077335396
BT-20	Canertinib	0.37	1657	4568	5383	1	0.815874383886425
BT-20	Canertinib	1.11	1097	2953	3673	3	0.764727827380981
BT-20	Canertinib	1.11	1334	3479	3925	2	0.850902705022383
BT-20	Canertinib	1.11	1657	4617	5383	1	0.82730825584276
BT-20	Canertinib	3.33	1097	2671	3673	3	0.666000213074389
BT-20	Canertinib	3.33	1334	3276	3925	2	0.780791633865774
BT-20	Canertinib	3.33	1657	4017	5383	1	0.683622991515217
BT-20	Canertinib	10	1097	760	3673	3	-0.189835490959055
BT-20	Canertinib	10	1334	1300	3925	2	-0.0164456567416701
BT-20	Canertinib	10	1657	1183	5383	1	-0.179817121490432
BT-20	Celastrol	0.04	1097	3972	3673	3	1.09182555975589
BT-20	Celastrol	0.04	1334	4023	3925	2	1.03193185373923
BT-20	Celastrol	0.04	1657	5828	5383	1	1.09567154244996
BT-20	Celastrol	0.12	1097	3935	3673	3	1.08062634524509
BT-20	Celastrol	0.12	1334	4099	3925	2	1.05650411105231
BT-20	Celastrol	0.12	1657	5995	5383	1	1.13079341881201
BT-20	Celastrol	0.37	1097	3235	3673	3	0.85950884071915
BT-20	Celastrol	0.37	1334	3678	3925	2	0.918224931528323
BT-20	Celastrol	0.37	1657	4608	5383	1	0.825211916355436
BT-20	Celastrol	1.11	1097	819	3673	3	-0.154335756955643
BT-20	Celastrol	1.11	1334	3231	3925	2	0.765041513729759
BT-20	Celastrol	1.11	1657	2358	5383	1	0.230662094330906
BT-20	Celastrol	3.33	1097	477	3673	3	-0.379791057309055
